wind speed,debris name,alongwind_mean,alongwind_std_dev,acrosswind_mean,acrosswind_std_dev
70,ENG SHINGL,109.95560847828993,55.73837783381719,-0.16202077595514827,55.73837783381719
70,COMP SHNGL,97.70951979671179,48.3172318024867,0.28794903589278104,48.3172318024867
70,STAND SEAM,124.29451280892734,63.45825852520924,0.6605914974196858,63.45825852520924
70,MODULAR MT,131.92054203991535,63.5940243601504,-1.531208812643896,63.5940243601504
70,BUILT-UP,103.01991397096788,51.587347012893794,-0.6309705746141999,51.587347012893794
70,POLY TPO,25.723271416803577,16.464016968922856,-0.14417794955377433,16.464016968922856
75,ENG SHINGL,123.21240442910204,61.55204794404004,0.8448887718230655,61.55204794404004
75,COMP SHNGL,107.63774964439612,52.8139386341204,0.06658823650112614,52.8139386341204
75,STAND SEAM,140.12496993440945,71.69554244927556,0.524033597924713,71.69554244927556
75,MODULAR MT,138.9535872401394,64.23265159814643,0.6519498814059985,64.23265159814643
75,BUILT-UP,114.29793892649491,56.458075598558615,0.8764405302461675,56.458075598558615
75,POLY TPO,26.097338940549957,16.65266127767761,0.17634628629029994,16.65266127767761
80,ENG SHINGL,135.41123695495318,68.29561528303287,1.780782538721343,68.29561528303287
80,COMP SHNGL,116.57641299107718,58.151565969410456,0.0652689466615243,58.151565969410456
80,STAND SEAM,149.48442870792587,75.35089880133926,1.5932183544777412,75.35089880133926
80,MODULAR MT,138.34020218832546,62.1431338185135,-0.673196297570705,62.1431338185135
80,BUILT-UP,123.94395911625,60.768378301813556,-0.19282865210816613,60.768378301813556
80,POLY TPO,26.364334060336112,16.65213969598272,-0.21376873294826274,16.65213969598272
85,ENG SHINGL,147.60080164083746,75.37503377925393,1.646743136653346,75.37503377925393
85,COMP SHNGL,127.57636474300563,63.25636210406051,-0.21608250876940083,63.25636210406051
85,STAND SEAM,161.99655246828286,79.87794622970169,0.23078362805606084,79.87794622970169
85,MODULAR MT,134.78505884135672,64.55467136762992,0.6565886200149902,64.55467136762992
85,BUILT-UP,134.1547277678566,66.95696236654126,-0.48323516072778466,66.95696236654126
85,POLY TPO,26.956849885613845,16.767856546012197,0.0012456703238687623,16.767856546012197
90,ENG SHINGL,159.39084470122572,81.23936306729138,0.9143584795931305,81.23936306729138
90,COMP SHNGL,138.33163595121914,70.00814787297924,-0.018400360099706633,70.00814787297924
90,STAND SEAM,169.5364567469314,80.12776418809472,0.008376451875544057,80.12776418809472
90,MODULAR MT,138.0727559393778,66.29327003204921,-0.23198290527494042,66.29327003204921
90,BUILT-UP,144.69964109121452,72.8095262591335,0.579639219756076,72.8095262591335
90,POLY TPO,26.873850980975188,16.61447334786296,-0.46327161469260536,16.61447334786296
95,ENG SHINGL,173.72191261330983,88.68109429024997,-1.6270491311398807,88.68109429024997
95,COMP SHNGL,149.54287818177048,73.73919319994006,-0.024357439248877448,73.73919319994006
95,STAND SEAM,172.88682659236187,78.4976339314401,1.9515303700966564,78.4976339314401
95,MODULAR MT,139.95175858355998,64.29167522338548,-0.8956471177076987,64.29167522338548
95,BUILT-UP,159.74923038567312,81.08392367650839,-0.21165100717436944,81.08392367650839
95,POLY TPO,27.26767302166417,16.374175009979563,-0.09272684780985023,16.374175009979563
100,ENG SHINGL,186.64707670239778,95.97660524449556,-1.0458882547480999,95.97660524449556
100,COMP SHNGL,159.9128837088972,79.61093150614833,2.0407196237290894,79.61093150614833
100,STAND SEAM,172.92064887546147,77.18754009131301,-0.9892867450748086,77.18754009131301
100,MODULAR MT,142.90074063763333,67.56198675844415,0.35037373722404697,67.56198675844415
100,BUILT-UP,172.41739012846526,88.82816450330067,-0.6069541570706383,88.82816450330067
100,POLY TPO,27.4125159509752,16.279725953407677,0.20666324952538626,16.279725953407677
105,ENG SHINGL,198.7224520419513,99.18479259034005,-1.1767224815934245,99.18479259034005
105,COMP SHNGL,172.7623137121844,87.02653873276185,0.5490828009672748,87.02653873276185
105,STAND SEAM,167.51374154069487,80.55252641675094,0.5379852455708999,80.55252641675094
105,MODULAR MT,142.47075877264015,65.80569260078376,-0.9917805335000045,65.80569260078376
105,BUILT-UP,182.73469586764898,95.50681407236338,0.5792697700513086,95.50681407236338
105,POLY TPO,27.834298149204574,16.216528378363435,0.05859381449661114,16.216528378363435
110,ENG SHINGL,207.40816648849673,102.47642349420103,2.3555132017185714,102.47642349420103
110,COMP SHNGL,182.86263596058575,93.90773606518525,0.005320028924363851,93.90773606518525
110,STAND SEAM,170.69169418349526,82.17633133008324,-0.12520138123166052,82.17633133008324
110,MODULAR MT,145.0140872088821,67.31538346969862,-0.7430257641834709,67.31538346969862
110,BUILT-UP,198.06946643951036,100.7959507671399,-0.6857821692418329,100.7959507671399
110,POLY TPO,28.08791489137723,16.04263380710063,-0.05054889279248498,16.04263380710063
115,ENG SHINGL,214.37575269138486,103.58397968739766,0.04885862121911878,103.58397968739766
115,COMP SHNGL,195.48249759522014,100.44076295519103,-0.34358678638232165,100.44076295519103
115,STAND SEAM,171.01136440655108,81.48610727598664,-0.31813055674110535,81.48610727598664
115,MODULAR MT,147.2530270956106,68.24220392932241,0.9045033385280391,68.24220392932241
115,BUILT-UP,210.67473528582084,108.97083783127124,0.07532387259028449,108.97083783127124
115,POLY TPO,28.391059288584405,16.033955552807143,0.006573620585783465,16.033955552807143
120,ENG SHINGL,226.0758047520766,104.41219839826061,2.828598012207992,104.41219839826061
120,COMP SHNGL,208.09261205496122,108.1572907299787,1.1603406289458749,108.1572907299787
120,STAND SEAM,173.3086661448727,80.5173645682393,1.0627975842083703,80.5173645682393
