disasterNumber,damagedCity,damagedStateAbbreviation,damagedZipCode,householdComposition,grossIncome,specialNeeds,ownRent,residenceType,homeOwnersInsurance,floodInsurance,inspected,rpfvl,habitabilityRepairsRequired,destroyed,waterLevel,floodDamage,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,sbaEligible,renterDamageLevel,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,primaryResidence,personalPropertyEligible,ppfvl,censusBlockId,censusYear,id
4337,SAFETY HARBOR,FL,34695,1,13000.0,False,Owner,Mobile Home,False,False,True,,,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,121030268164059,2017,5c12d8dbf2238e6fe40c7f5a
4337,DELAND,FL,32724,2,5000.0,False,Renter,Mobile Home,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121270902021024,2017,5c12d8dbf2238e6fe40c7f4b
4337,TAMPA,FL,33624,1,,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120570114161000,2017,5c12d8dbf2238e6fe40c7f69
4337,FORT LAUDERDALE,FL,33319,1,4000.0,False,Owner,Condo,False,False,True,,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120110503103007,2017,5c12d8dbf2238e6fe40c7f46
4337,ISLAMORADA,FL,33036,1,16000.0,False,Owner,Condo,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120879708004027,2017,5c12d8dbf2238e6fe40c7f55
4337,ORANGE CITY,FL,32763,3,85000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121270908033012,2017,5c12d8dbf2238e6fe40c7ee7
4337,INTERLACHEN,FL,32148,5,22000.0,False,Owner,Mobile Home,False,False,True,1000.0,True,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,121079502013037,2017,5c12d8dbf2238e6fe40c7f13
4337,JACKSONVILLE,FL,32210,1,60000.0,False,Owner,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120310134031008,2017,5c12d8dbf2238e6fe40c7eff
4337,OPA-LOCKA,FL,33054,2,24000.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860005052003,2017,5c12d8dbf2238e6fe40c7f09
4337,MIAMI,FL,33130,1,,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,False,False,,120860066014002,2017,5c12d8dbf2238e6fe40c7ef6
4337,GREENACRES,FL,33413,1,,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120990048154001,2017,5c12d8dbf2238e6fe40c7f78
4337,ORLANDO,FL,32806,3,80000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120950111001013,2017,5c12d8dbf2238e6fe40c7f18
4337,LAKE WORTH,FL,33460,1,15552.0,False,Renter,Townhouse,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120990052022057,2017,5c12d8dbf2238e6fe40c7f73
4337,MIAMI,FL,33142,2,10000.0,False,Renter,House/Duplex,False,False,True,,,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120860024041013,2017,5c12d8dbf2238e6fe40c7edd
4337,WESTON,FL,33326,4,,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120110703124009,2017,5c12d8dbf2238e6fe40c7f6e
4337,CORAL SPRINGS,FL,33067,2,36000.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120110106051003,2017,5c12d8dbf2238e6fe40c7ef1
4337,DAYTONA BEACH,FL,32117,3,3000.0,False,Owner,House/Duplex,True,False,True,,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,121270808053066,2017,5c12d8dbf2238e6fe40c7f04
4337,CHIEFLAND,FL,32626,1,36000.0,False,Owner,Mobile Home,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120759703011027,2017,5c12d8dbf2238e6fe40c7efa
4337,NEW PORT RICHEY,FL,34653,1,15000.0,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121010317052025,2017,5c12d8dbf2238e6fe40c7f0e
4337,MIAMI,FL,33155,4,,False,Renter,Townhouse,False,True,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120860060023008,2017,5c12d8dbf2238e6fe40c7eec
4337,MIAMI,FL,33135,1,2000.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120860054101007,2017,5c12d8dbf2238e6fe40c7f7d
4337,LAKELAND,FL,33805,2,34200.0,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,121050115022054,2017,5c12d8dbf2238e6fe40c7f8c
4337,VENICE,FL,34293,1,35000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121150025042005,2017,5c12d8dbf2238e6fe40c7ee2
4337,PEMBROKE PINES,FL,33029,3,80000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120111103241011,2017,5c12d8dbf2238e6fe40c7f82
4337,MIRAMAR,FL,33023,3,18000.0,False,Renter,House/Duplex,False,False,True,,,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120110915001002,2017,5c12d8dbf2238e6fe40c7f87
4337,TAMPA,FL,33614,1,23000.0,False,Renter,Apartment,False,False,True,,,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120570119062025,2017,5c12d8dbf2238e6fe40c7f5d
4337,FORT PIERCE,FL,34951,4,40600.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121113811012017,2017,5c12d8dbf2238e6fe40c7f3b
4337,CLEWISTON,FL,33440,2,50000.0,False,Owner,Mobile Home,False,False,True,499.5,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120510002005016,2017,5c12d8dbf2238e6fe40c7f44
4337,MIAMI,FL,33182,3,,False,Renter,House/Duplex,False,False,True,,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120860142002002,2017,5c12d8dbf2238e6fe40c7f4e
4337,DANIA BEACH,FL,33004,1,5000.0,False,Owner,Condo,False,False,True,,,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120110801011014,2017,5c12d8dbf2238e6fe40c7f31
4337,NAPLES,FL,34110,1,30000.0,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,,2017,5c12d8dbf2238e6fe40c7f53
4337,NEW SMYRNA BEACH,FL,32168,1,,False,Owner,House/Duplex,False,False,True,10000.0,True,False,4.0,True,False,,False,,True,False,True,1910.0,True,10000.0,False,,False,,,,,,True,False,341.7,121270829032009,2017,5c12d8dbf2238e6fe40c7f67
4337,ORLANDO,FL,32805,1,,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120950117022005,2017,5c12d8dbf2238e6fe40c7f2c
4337,ORANGE PARK,FL,32073,1,,False,Renter,Apartment,False,False,True,,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120190303011024,2017,5c12d8dbf2238e6fe40c7f40
4337,OKEECHOBEE,FL,34972,4,,False,Renter,House/Duplex,False,False,True,,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120939101013040,2017,5c12d8dbf2238e6fe40c7f58
4337,BOYNTON BEACH,FL,33436,2,25000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120990058163000,2017,5c12d8dbf2238e6fe40c7f36
4337,APOPKA,FL,32712,4,125000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120950178061005,2017,5c12d8dbf2238e6fe40c7f1d
4337,KISSIMMEE,FL,34741,1,18480.0,True,Renter,Apartment,False,False,True,,,False,0.0,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,0.0,120970419001060,2017,5c12d8dbf2238e6fe40c7f49
4337,JACKSONVILLE,FL,32210,1,30000.0,False,Owner,Condo,True,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120310125002014,2017,5c12d8dbf2238e6fe40c7f22
4337,MIAMI,FL,33175,1,195000.0,False,Owner,House/Duplex,True,True,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860155001007,2017,5c12d8dbf2238e6fe40c7f27
4337,MIAMI,FL,33175,1,55000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860154002025,2017,5c12d8dbf2238e6fe40c7f62
4337,STUART,FL,34994,3,,False,Renter,Mobile Home,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120850010001063,2017,5c12d8dbf2238e6fe40c7f7b
4337,GAINESVILLE,FL,32653,1,,False,Owner,Other,True,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120010018131008,2017,5c12d8dbf2238e6fe40c7f6c
4337,NORTH PORT,FL,34287,1,19200.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121150027222132,2017,5c12d8dbf2238e6fe40c7f80
4337,PALM BAY,FL,32907,2,,True,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120090713371001,2017,5c12d8dbf2238e6fe40c7f85
4337,CUTLER BAY,FL,33190,1,,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860106094020,2017,5c12d8dbf2238e6fe40c7f76
4337,SUNRISE,FL,33322,1,25000.0,False,Owner,Apartment,False,False,True,,False,False,0.0,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,341.7,120110602071008,2017,5c12d8dbf2238e6fe40c7f8a
4337,APOPKA,FL,32712,4,22896.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120950179024024,2017,5c12d8dbf2238e6fe40c7f8f
4337,MIAMI,FL,33193,2,67048.0,False,Owner,Condo,False,False,True,,,False,0.0,False,False,,False,,False,False,False,,False,,False,,True,,,,,,True,False,0.0,120860168001014,2017,5c12d8dbf2238e6fe40c7f71
4337,MIAMI,FL,33150,1,12000.0,False,Renter,House/Duplex,False,False,True,,,False,0.0,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,0.0,120860014013020,2017,5c12d8dbf2238e6fe40c7edb
4337,MIAMI,FL,33167,1,20000.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120860004041035,2017,5c12d8dbf2238e6fe40c7eef
4337,ORLANDO,FL,32817,4,35000.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120950165041017,2017,5c12d8dbf2238e6fe40c7f02
4337,PIERSON,FL,32180,3,18500.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121270901021017,2017,5c12d8dbf2238e6fe40c7f21
4337,DANIA BEACH,FL,33004,1,,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120110801012013,2017,5c12d8dbf2238e6fe40c7f20
4337,WESTGATE-BELVEDERE HOMES,FL,33409,4,18000.0,False,Renter,Apartment,False,False,True,,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120990029002024,2017,5c12d8dbf2238e6fe40c7f34
4337,WEST PALM BEACH,FL,33415,1,35000.0,False,Renter,Other,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120990032021002,2017,5c12d8dbf2238e6fe40c7f6f
4337,N MIAMI BEACH,FL,33162,4,20000.0,False,Renter,Other,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120860002133002,2017,5c12d8dbf2238e6fe40c7f60
4337,DAVENPORT,FL,33837,3,3507.0,False,Owner,Other,True,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,121050126021004,2017,5c12d8dbf2238e6fe40c7eeb
4337,ORLANDO,FL,32808,5,,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120950122022003,2017,5c12d8dbf2238e6fe40c7ef9
4337,PALM BEACH GARDENS,FL,33410,1,26000.0,False,Owner,House/Duplex,False,False,True,,,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120990003043001,2017,5c12d8dbf2238e6fe40c7f48
4337,FORT WHITE,FL,32038,3,1500.0,False,Owner,Mobile Home,False,False,True,,,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120231109042009,2017,5c12d8dbf2238e6fe40c7f11
4337,SUMMERFIELD,FL,34491,1,14000.0,False,Owner,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120830009024004,2017,5c12d8dbf2238e6fe40c7f16
4337,MIAMI LAKES,FL,33014,1,,False,Owner,Other,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,False,False,,120860093122029,2017,5c12d8dbf2238e6fe40c7f65
4337,DEBARY,FL,32713,1,,False,Owner,House/Duplex,False,False,True,,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,121270909024000,2017,5c12d8dbf2238e6fe40c7ee6
4337,BRADENTON,FL,34207,1,38000.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120810003071013,2017,5c12d8dbf2238e6fe40c7f52
4337,INVERNESS,FL,34453,2,18000.0,False,Owner,House/Duplex,False,False,True,499.5,False,False,0.0,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,0.0,120174509011003,2017,5c12d8dbf2238e6fe40c7efd
4337,MIAMI,FL,33176,1,40000.0,False,Owner,House/Duplex,True,True,True,5660.0,True,False,0.0,False,False,,False,,True,False,False,,False,,False,,True,,,,,,True,False,0.0,120860084144027,2017,5c12d8dbf2238e6fe40c7ef5
4337,NAPLES,FL,34109,1,0.0,False,Owner,House/Duplex,True,False,True,,,False,0.0,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,0.0,120210104054002,2017,5c12d8dbf2238e6fe40c7f30
4337,TAMPA,FL,33605,1,,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,False,False,,120570038001042,2017,5c12d8dbf2238e6fe40c7f0c
4337,MIAMI,FL,33174,1,,False,Renter,Other,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120860090192020,2017,5c12d8dbf2238e6fe40c7f3e
4337,LADY LAKE,FL,32159,1,,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120690304111018,2017,5c12d8dbf2238e6fe40c7f79
4337,MIAMI GARDENS,FL,33056,1,11861.0,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860100012003,2017,5c12d8dbf2238e6fe40c7f83
