Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
a2ce00aa-e289-4651-b02b-da77693ce549,5 CATALINA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,10.0,1976
7d973484-d692-49ca-97f7-ab7699a5f0d3,3 CATALINA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,40.0,1974
a0cc090d-70b7-4f43-9897-946068a06ed5,8 CATALINA DRIVE ROCKPORT  ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,70.0,1974
282ca0ee-afac-4dfe-832d-2d41a82f3895,45 CURLEW DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,10.0,1974
ba00e99a-03f3-447f-8112-ff483cf26796,43 CURLEW DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,20.0,1975
6bdfef52-2595-454b-83cd-438a065108b8,39 CURLEW DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,20.0,1975
dacc3f9c-1e5a-484b-9305-a1a5b3f68edc,37 CURLEW DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,80.0,1974
e7fea3a1-da3f-4deb-9e30-63e091c04bf6,35 CURLEW DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,30.0,1998
104d4fb0-f9c8-4d92-8465-aa7073735f66,33 CURLEW DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,10.0,1997
75d281ed-2745-4d39-8da9-726d5240d715,15 LUAU LANE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,20.0,1969
e1e5a7ac-bd68-4625-a8e6-0417f1777d29,2 RIVIERA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,145.0,70.0,1970
520ff0b2-54d9-40ad-968a-9d1ce3efd4c4,4 RIVIERA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,145.0,40.0,1985
82094613-0ae5-4e5f-a14b-93f7a924017f,1811 BAY SHORE DR. ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,145.0,70.0,1964
bff85812-3e9c-482d-883a-9e39881d81dc,12 RIVIERA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,145.0,90.0,1974
85e3bf94-56e7-4f1c-ad89-ceab09bbf70e,14 RIVIERA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,145.0,20.0,1971
25059c5d-83c7-4b4a-8abe-aacabb02b191,16 RIVIERA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,145.0,50.0,1979
d115057c-1a54-4931-be3b-b4bd66010452,18 RIVIERA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,145.0,70.0,1980
09775088-3651-4d10-a75b-e02a9438b499,20 RIVIERA DRIVE ROCKPORT  ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,145.0,30.0,1979
80f1dfd2-3760-460b-839b-88ea0190f8cd,1866 BAY SHORE DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,10.0,1970
c383eadd-9b48-432f-8f08-58a1b34a418f,1862 BAY SHORE DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,80.0,1963
e191a970-15a0-460b-8e6c-6fabcafca64b,38 CURLEW DR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,90.0,1997
ce4e656e-8bc5-4a94-9c46-ad9200a1fb56,22 LUAU LN ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,135.0,10.0,1972
e794bbbb-dee6-48a1-a5ae-e6bdc9acaf36,403 DOLPHIN LN PORT ARANSAS NUECES COUNTY TX,ASPHALT SHINGLES,1,False,None,139.0,10.0,2013
ff19eb1e-771f-49dc-810c-00c06fc4f8a6,302 DOLPHIN LN PORT ARANSAS NUECES COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,30.0,1986
270c7786-5115-4245-898e-fac48abd223d,320 CHANNEL VIEW DRIVE PORT ARANSAS NUECES COUNTY TX,ASPHALT SHINGLES,1,False,None,136.0,10.0,1980
24fa82a9-4ca9-4f71-af7e-ecf523b742df,326 CHANNEL VIEW DRIVE PORT ARANSAS NUECES COUNTY TX,ASPHALT SHINGLES,1,False,None,136.0,60.0,1975
31f3fca3-0512-4081-b388-be744b8caeb3,406 CHANNEL VIEW DRIVE PORT ARANSAS NUECES COUNTY TX,ASPHALT SHINGLES,1,False,None,136.0,100.0,1975
7d7f0d8a-08f3-45a6-bb64-536feabcdf2b,416 CHANNEL VIEW DRIVE PORT ARANSAS NUECES COUNTY TX,ASPHALT SHINGLES,1,False,None,136.0,10.0,1975
91a7b3a9-03bb-4879-a8ad-c214bce1ae6d,501 AUGUSTA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,10.0,2003
9eb006f6-b3c0-440f-bd6c-10475d1f9118,499 AUGUSTA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,10.0,2002
d6b5c395-d998-461e-b8b9-83df654e9025,493 AUGUSTA DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,30.0,2005
7c712ad9-7857-4ffa-805e-f874c2935e7c,721 WATERWOOD STREET ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,0.0,1987
8abd4d51-51d2-49f2-a662-92aa5726d4c9,717 WATERWOOD STREET ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,10.0,1992
181501d7-adc1-434c-a707-ca39a90f8cf7,203 SAILFISH ROCKPORT  ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,1987
