DS Number,demand,fail,total
1.0,153.0,13.0,13.0
1.0,155.0,8.0,8.0
1.0,156.0,21.0,26.0
1.0,159.0,1.0,2.0
2.0,153.0,0.0,13.0
2.0,155.0,0.0,8.0
2.0,156.0,8.0,26.0
2.0,159.0,0.0,2.0
