DS Number,demand,fail,total
1.0,153.0,8.0,8.0
1.0,155.0,12.0,15.0
1.0,156.0,28.0,31.0
1.0,159.0,10.0,10.0
1.0,167.0,10.0,12.0
2.0,153.0,4.0,8.0
2.0,155.0,0.0,15.0
2.0,156.0,2.0,31.0
2.0,159.0,3.0,10.0
2.0,167.0,9.0,12.0
3.0,153.0,0.0,8.0
3.0,155.0,0.0,15.0
3.0,156.0,2.0,31.0
3.0,159.0,0.0,10.0
3.0,167.0,9.0,12.0
