04265-000-000,312  FORTNER AVE   MEXICO BEACH 32410,"['20MB-RB0035', '19MB-RB0408', '19MB-SID0021', '19MB-RR0087', 'B303']"
04266-000-000,308  FORTNER AVE   MEXICO BEACH 32410,"['19MB-RB0356', '19MB-RR0211', '19MB-RR0103', 'RF0667', 'B519', '9601105']"
04267-000-000,306  FORTNER AVE   MEXICO BEACH 32410,"['20MB-RR045', '13-2363', '9501633']"
04268-000-000,304  FORTNER AVE   MEXICO BEACH 32410,['91-4628']
04271-019-000,402  HWY 98    MEXICO BEACH 32410,"['19MB-RR0399', '19MB-SID0038', '19MB-RB0150', '14-2524', '22111184', 'RF100']"
04272-010-000,404  HWY 98    MEXICO BEACH 32410,"['18-0182', 'B-2839']"
04273-010-000,406  HWY 98    MEXICO BEACH 32410,"['20380738', '90380710', '9513545']"
04279-000-000,112  5TH ST   MEXICO BEACH 32410,"['20MB-RB0282', '19MB-RB0534', '19MB-RB0422', '19-0295', '9802652', '3660825']"
04280-010-000,114  5TH ST   MEXICO BEACH 32410,"['19MB-RB0407', '19MB-RR0317', '19MB-RR0067', '9504845']"
04281-000-000,116  5TH ST   MEXICO BEACH 32410,['19MB-RR0064']
04282-005-000,409  FORTNER AVE   MEXICO BEACH 32410,"['14-2474', '13-2450']"
04283-000-000,115  4TH ST   MEXICO BEACH 32410,"['19PC-CR0640', '19MB-CR0027', '19MB-RB0344', '05-16', '9500344']"
04284-010-000,122  5TH ST   MEXICO BEACH 32410,"['0503205', 'RF00291', '92989']"
04285-000-000,124  5TH ST   MEXICO BEACH 32410,"['19MB-RR0357', '19MB-RB0415', '18-3750', '17-3472', '9504363', '925933']"
04286-000-000,412  FORTNER AVE   MEXICO BEACH 32410,"['B1744', '4103', '9403297']"
04287-005-000,408  FORTNER AVE   MEXICO BEACH 32410,"['20MB-RB0025', '19-0332', '19MB-RR0159', 'B1340']"
04288-000-000,123  4TH ST   MEXICO BEACH 32410,"['050405', 'B-2146', 'RF200127', '9801032', '93-5510', '92-5089', '91-5834']"
04288-001-000,121  4TH ST   MEXICO BEACH 32410,['18MB-RB0060']
04290-000-000,500  HWY 98    MEXICO BEACH 32410,"['18MB-RR0238', '18-0020', '18-3747']"
04291-000-000,502  HWY 98    MEXICO BEACH 32410,"['19MB-RR0131', '15-2750', '14-2724', '14-2573', '13-2310']"
04294-000-000,508  HWY 98    MEXICO BEACH 32410,"['19MB-RB0125', '15-2852', '23101026', 'B0332', 'B602', '9700836', '9309580']"
04298-000-000,518  HWY 98    MEXICO BEACH 32410,"['16-3242', '8576', '9803632', '9510876']"
04299-000-000,112  6TH ST   MEXICO BEACH 32410,"['19MB-RR0326', '12-2210', '82560301']"
04300-000-000,114  6TH ST   MEXICO BEACH 32410,"['15-2888', '922930']"
04301-000-000,511  FORTNER AVE   MEXICO BEACH 32410,"['20MB-RB0143', '20MB-RB0076', '20MB-RR0025', '13-2369', '12290770', '924138']"
