Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,Occupancy,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unit No,Floor,Living Area,Number of Bedrooms,Number of Bathrooms,Permit Number,Latitude,Longitude,Condo Bldg,Disaster Permit,Disaster Permit Type,Disaster Permit Description
38378-010-000,17578 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),1131,1,1940,OFFICE LOW,CONC BLOCK,ENG SHINGL,WALL BD/WD,MASONARY,CARPET,,,,,,"['18-1145', '17-0993']",30.2305,-85.905198,,FALSE,,
38374-000-000,17616 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),2152,2,1940,OFFICE LOW,ABOVE AVE,COMP SHNGL; STAND SEAM,WALL BD/WD,WOOD FRAME,HARDWOOD; CARPET,,,,,,"['RF833', 'RF1939']",30.231133,-85.906407,,FALSE,,
38374-000-000,17616 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),842,1,1940,OFFICE LOW,ABOVE AVE,COMP SHNGL,WALL BD/WD; PLYWOOD,,CARPET,,,,,,"['RF833', 'RF1939']",30.231133,-85.906407,,FALSE,,
38324-510-000,100 AMAR PL PANAMA CITY BEACH 32413,OFFICE BLD (001700),8555,1,2004,OFFICE LOW,WD FR STUC; PREFIN MTL,MODULAR MT; ENG SHINGL,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,"['14-1176', 'B0677']",30.241926,-85.91007,,FALSE,,
38324-504-000,107 AMAR PL PANAMA CITY BEACH 32413,OFFICE BLD (001700),14819,1.5,2006,OFFICE LOW,COMMON BRK; PREFIN MTL,MODULAR MT; ENG SHINGL,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,,30.243029,-85.91118,,FALSE,,
38324-502-000,103 AMAR PL PANAMA CITY BEACH 32413,OFFICE BLD (001700),10500,1,2004,OFFICE LOW,WD FR STUC; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,CARPET,,,,,,,30.242204,-85.911074,,FALSE,,
38324-501-000,17842 ASHLEY DR PANAMA CITY BEACH 32413,OFFICE BLD (001700),5400,1,2006,OFFICE LOW,PREFIN MTL; AVERAGE,MODULAR MT,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,['2009717'],30.241414,-85.911235,,FALSE,,
38322-007-000,17775 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),6982,1,1990,OFFICE LOW,PREFIN MTL; ABOVE AVE,MODULAR MT,DRYWALL,STEEL,VINYL ASB,,,,,,"['201901969', '1089', '07-83']",30.237876,-85.908912,,FALSE,,
38320-005-190,17633 ASHLEY DR PANAMA CITY BEACH 32413,OFFICE BLD (001700),12860,1,2007,OFFICE LOW,WD FR STUC; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,['13-2082'],30.236638,-85.897977,,FALSE,,
38320-005-190,17633 ASHLEY DR PANAMA CITY BEACH 32413,OFFICE BLD (001700),8030,1,2007,WAREH STOR,WD FR STUC; PREFIN MET,MOD METAL,NONE; DRYWALL,STEEL,CONC FINSH,,,,,,['13-2082'],30.236638,-85.897977,,FALSE,,
38320-005-140,17800 PANAMA CITY BEACH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),3913,1,2006,OFFICE LOW,COMMON BRK; FACE BRICK,ENG SHINGL,DRYWALL,WOOD FRAME,HARDWOOD; CARPET,,,,,,,30.240755,-85.91159,,FALSE,,
38320-005-120,17687 ASHLEY DR PANAMA CITY BEACH 32413,OFFICE BLD (001700),6820,1,2006,OFFICE LOW,MOD METAL; COMMON BRK,MODULAR MT,DRYWALL,STEEL,CONC FINSH,,,,,,['201901011'],30.237031,-85.900685,,FALSE,,
38320-005-120,17687 ASHLEY DR PANAMA CITY BEACH 32413,OFFICE BLD (001700),14400,1,2006,WAREH STOR,PREFIN MET,MOD METAL,MINIMUM,STEEL,CONC FINSH,,,,,,['201901011'],30.237031,-85.900685,,FALSE,,
38320-005-105,17803 ASHLEY DR PANAMA CITY BEACH 32413,OFFICE BLD (001700),1440,1,2016,OFFICE LOW,PREFAB PNL,MINIMUM,WALL BD/WD,WOOD FRAME,CARPET,,,,,,"['201900157', '16-1835']",30.24093,-85.910149,,FALSE,,
38320-005-070,17745 ASHLEY DR A&B PANAMA CITY BEACH 32413,OFFICE BLD (001700),11136,1,2006,OFFICE LOW,WD FR STUC; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,VINYL PLNK,,,,,,"['201903544', '18-1383']",30.239415,-85.906772,,FALSE,,
38320-005-030,17651 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),8539,1.5,2020,OFFICE LOW,ABOVE AVE; CB STUCCO,MODULAR MT,DRYWALL,MASONARY,CONC FINSH,,,,,,,30.235278,-85.905407,,FALSE,,
38274-000-000,17799 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),2712,1,1999,OFFICE LOW,AVERAGE; WD FR STUC,ENG SHINGL,DRYWALL,WOOD FRAME,CLAY TILE,,,,,,,30.239442,-85.91188,,FALSE,,
38250-000-000,18301 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),1110,1,1995,OFFICE LOW,CONC BLOCK,ENG SHINGL,DRYWALL,MASONARY,CARPET,,,,,,,30.240112,-85.913218,,FALSE,,
38175-000-000,19981 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),3250,2,1983,OFFICE LOW,VINYL; COMMON BRK,ENG SHINGL,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.247799,-85.928676,,FALSE,,
37903-001-000,19709 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),1028,1,1976,OFFICE LOW,AVERAGE,MODULAR MT,DRYWALL,WOOD FRAME,CORK/VTILE,,,,,,,30.24547,-85.923868,,FALSE,,
37903-001-000,19709 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),1200,1,1997,WAREH STOR,PREFIN MET,MOD METAL,NONE,STEEL,CONC FINSH,,,,,,,30.24547,-85.923868,,FALSE,,
37902-000-000,19715 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),4095,1,2006,OFFICE LOW,WD FR STUC; PREFIN MTL,BUILT-UP,DRYWALL,STEEL,CARPET; CLAY TILE,,,,,,,30.245556,-85.924221,,FALSE,,
37895-000-000,19806 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),5000,1,1983,OFFICE LOW,CB STUCCO,MODULAR MT,MINIMUM; DRYWALL,MASONARY,CLAY TILE,,,,,,,30.246512,-85.92423,,FALSE,,
37805-000-000,19211 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),3440,1,2001,OFFICE LOW,ABOVE AVE; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,SHT VINYL,,,,,,,30.24254,-85.91826,,FALSE,,
37805-000-000,19211 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),3440,1,2001,OFFICE LOW,ABOVE AVE; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,CONC FINSH; CARPET,,,,,,,30.24254,-85.91826,,FALSE,,
37238-110-000,19408 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),7545,1,1999,OFFICE LOW,PREFIN MTL; ABOVE AVE,MODULAR MT,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,"['13-0124', 'B07-1397', '3536', '5777']",30.244339,-85.919325,,FALSE,,
36763-000-000,20016 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),1950,1,2002,OFFICE LOW,CB STUCCO; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,VINYL PLNK,,,,,,,30.249478,-85.930222,,FALSE,,
36459-593-000,22200 PC BCH PKWY A-F PANAMA CITY BEACH 32413,OFFICE BLD (001700),6849,1,2003,OFFICE LOW,COMMON BRK; MOD METAL,MODULAR MT,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,,30.263127,-85.962459,,FALSE,,
36308-000-000,22616 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),1189,1,2008,OFFICE LOW,VINYL; ABOVE AVE,ENG SHINGL,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.264095,-85.968509,,FALSE,,
36296-000-000,340 PALM BEACH DR PANAMA CITY BEACH 32413,OFFICE BLD (001700),2000,1,2004,OFFICE LOW,WD FR STUC,MODULAR MT,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.263503,-85.969892,,FALSE,,
36293-000-000,22613 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),7164,2,2004,OFFICE HGH,CEDAR; WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.263313,-85.968904,,FALSE,,
36287-000-000,323 GULF VIEW DR PANAMA CITY BEACH 32413,OFFICE BLD (001700),1176,1,1982,OFFICE LOW,CONC BLOCK,MODULAR MT,DRYWALL; CUST PANEL,MASONARY,CONC FINSH,,,,,,,30.263002,-85.966998,,FALSE,,
36081-005-055,115 CARILLON MARKET ST PANAMA CITY BEACH 32413,OFFICE BLD (001700),6280,2,2006,OFFICE LOW,ABOVE AVE,STAND SEAM,DRYWALL,WOOD FRAME,CONC FINSH; CARPET,,,,,,,30.26557,-85.977712,,FALSE,,
35357-000-000,21901 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),7440,1,2007,EXCEP OFFC,ABOVE AVE,ENG SHINGL,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,"['13-0191', 'B06-2309', 'B06-2380']",30.261315,-85.958367,,FALSE,,
34984-090-000,9400 THOMAS DR PANAMA CITY BEACH 32408,OFFICE BLD (001700),16796,2,2006,OFFICE LOW,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,"['08-0486', '6314']",30.171071,-85.795818,,FALSE,,
34887-000-000,10610 FRONT BEACH RD PANAMA CITY BEACH 32407,OFFICE BLD (001700),1770,1,1941,OFFICE LOW,ASB SHNGLE,COMP SHNGL,DRYWALL,WOOD FRAME,SHT VINYL; CARPET,,,,,,,30.179083,-85.809758,,FALSE,,
34881-555-000,11 MIRACLE STRIP LOOP PANAMA CITY BEACH 32407,OFFICE BLD (001700),6742,2,1985,OFFICE LOW,VINYL,COMP SHNGL,DRYWALL,WOOD FRAME,CARPET,,,,,,['202001883'],30.182729,-85.803493,,FALSE,,
34881-525-000,5 MIRACLE STRIP LOOP PANAMA CITY BEACH 32407,OFFICE BLD (001700),17892,2,1986,OFFICE LOW,COMMON BRK,ENG SHINGL,DRYWALL,WOOD FRAME,CARPET; CLAY TILE,,,,,,['20082384'],30.183828,-85.805122,,FALSE,,
34881-111-010,10511 FRONT BEACH RD PANAMA CITY BEACH 32407,OFFICE BLD (001700),3452,1,1996,OFFICE LOW,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.177652,-85.806957,,FALSE,,
34881-111-010,10511 FRONT BEACH RD PANAMA CITY BEACH 32407,OFFICE BLD (001700),1372,1,2000,RESTAURANT,AVERAGE,STAND SEAM,WALL BD/WD,WOOD FRAME,CLAY TILE,,,,,,,30.177652,-85.806957,,FALSE,,
34881-020-000,10520 HUTCHISON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),3997,1,1979,OFFICE LOW,COMMON BRK,BUILT-UP,PLYWOOD; DRYWALL,MASONARY,CARPET; HARDTILE,,,,,,['947'],30.183631,-85.806052,,FALSE,,
34881-010-000,10010 HUTCHISON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),3179,1.5,1977,OFFICE LOW,CB STUCCO; ABOVE AVE,MODULAR MT,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,"['B571', '42131', '7585']",30.181622,-85.803535,,FALSE,,
34864-020-010,10200 CLARENCE ST PANAMA CITY BEACH 32407,OFFICE BLD (001700),3071,1,2006,OFFICE LOW,AVERAGE,MINIMUM,DRYWALL,WOOD FRAME,CARPET; CONC FINSH,,,,,,,30.181532,-85.803188,,FALSE,,
34856-050-000,9719 THOMAS DR PANAMA CITY BEACH 32408,OFFICE BLD (001700),2418,1,1960,OFFICE LOW,CONC BLOCK; PREFAB PNL,COMP SHNGL,PLYWOOD; DRYWALL,,SHT VINYL; CARPET,,,,,,,30.145659,-85.758081,,FALSE,,
34830-000-000,9722 FRONT BEACH RD PANAMA CITY BEACH 32407,OFFICE BLD (001700),5332,1,1995,OFFICE LOW,CONC BLOCK; GLASS THRM,MODULAR MT,DRYWALL,STEEL,CORK/VTILE; CARPET,,,,,,"['502367', 'B-2687', '9602446', '9509305', '9508082', '9402718', '9402718']",30.179659,-85.797281,,FALSE,,
34810-110-010,10740 HUTCHISON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),4845,1.5,2001,OFFICE LOW,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.184892,-85.809525,,FALSE,,
34810-110-000,10720 HUTCHISON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),3470,1,2003,OFFICE LOW,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.184751,-85.809313,,FALSE,,
34779-011-006,10997 HUTCHISON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),1968,1,1986,OFFICE LOW,WD FR STUC,ENG SHINGL,DRYWALL,WOOD FRAME,SHT VINYL; CARPET,,,,,,,30.184103,-85.814014,,FALSE,,
34779-011-000,11053 HUTCHISON BV PANAMA CITY BEACH 32407,OFFICE BLD (001700),4724,1,1988,OFFICE LOW,CB STUCCO,STAND SEAM,DRYWALL,MASONARY,CARPET,,,,,,,30.185467,-85.81241,,FALSE,,
34776-030-000,309 RICHARD JACKSON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),15344,2,2007,OFFICE LOW,ABOVE AVE,BUILT-UP,DRYWALL,REIN CONC,CLAY TILE; CARPET,,,,,,"['15-0829', '15-0808', '14-439', '12-1727', '2010613', '20091371', '20091371', '2008472']",30.190622,-85.814394,,FALSE,,
34398-000-000,612 WISTERIA ST PANAMA CITY BEACH 32407,OFFICE BLD (001700),1224,1,1973,OFFICE LOW,COMMON BRK,ENG SHINGL,PLASTER; DRYWALL,WOOD FRAME,SHT VINYL; CARPET,,,,,,['2008701'],30.199262,-85.843208,,FALSE,,
34387-000-000,13510 HUTCHISON BV PANAMA CITY BEACH 32407,OFFICE BLD (001700),6552,1.5,1992,OFFICE LOW,CB STUCCO; WD FR STUC,STAND SEAM,DRYWALL,MASONARY,CORK/VTILE; CARPET,,,,,,"['925634', '925816', '9600822']",30.199419,-85.84462,,FALSE,,
34356-000-000,13508 FRONT BEACH RD PANAMA CITY BEACH 32407,OFFICE BLD (001700),2896,1,1950,SERV SHOP,CONC BLOCK,MODULAR MT,PLYWOOD,MASONARY,CORK/VTILE,,,,,,"['201900225', '5793']",30.198547,-85.84448,,FALSE,,
34106-010-000,647 CLARA AVE PANAMA CITY BEACH 32407,OFFICE BLD (001700),3629,1,1974,OFFICE LOW,PREFIN MTL; WD FR STUC,MODULAR MT,PLYWOOD,STEEL,CONC FINSH; CARPET,,,,,,"['0301034', '6820']",30.195762,-85.836179,,FALSE,,
34073-020-000,514 LYNDELL LN PANAMA CITY BEACH 32407,OFFICE BLD (001700),2240,1,1995,OFFICE LOW,CONC BLOCK,ENG SHINGL,DRYWALL,MASONARY,SHT VINYL; CARPET,,,,,,,30.194607,-85.831583,,FALSE,,
34073-020-000,514 LYNDELL LN PANAMA CITY BEACH 32407,OFFICE BLD (001700),1040,1,1995,SERV SHOP,PREFAB PNL,ENG SHINGL,DRYWALL,WOOD FRAME,CONC FINSH,,,,,,,30.194607,-85.831583,,FALSE,,
34063-030-000,12425 HUTCHISON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),18421,1,1992,OFFICE LOW,MOD METAL,MODULAR MT,DRYWALL,STEEL,CORK/VTILE; CARPET,,,,,,"['16-0664', '2010644', '2010377', '1159', '2509', '925861']",30.19623,-85.832649,,FALSE,,
34040-011-000,392 LAUREL ST A PANAMA CITY BEACH 32407,OFFICE BLD (001700),1404,1,1976,OFFICE LOW,VINYL; COMMON BRK,BUILT-UP,PLYWOOD; DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,30.198469,-85.83855,,FALSE,,
34040-010-000,12405 PC BCH PKWY PANAMA CITY BEACH 32407,OFFICE BLD (001700),770,1,1987,OFFICE LOW,PREFAB PNL,COMP SHNGL,PLYWOOD,WOOD FRAME,SHT VINYL,,,,,,,30.204085,-85.831697,,FALSE,,
34036-025-000,12118 PC BCH PKWY PANAMA CITY BEACH 32407,OFFICE BLD (001700),5025,1,1996,OFFICE LOW,WD FR STUC,COMP SHNGL,DRYWALL,WOOD FRAME,CARPET,,,,,,"['DIS20-00567', 'DIS18-03070', 'B990', 'B208', '9605249']",30.205686,-85.827649,,TRUE,"['ROOF', 'EXTERIOR']","['COMM REROOF', 'COMM VEHICLE  DAMAGE']"
34034-007-000,140 RICHARD JACKSON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),31360,1,2004,OFFICE LOW,PRECAST PN,POLY TPO,DRYWALL,MASONARY,VINYL PLNK; CARPET,,,,,,"['201903446', '16-1848', '15-1728', '15-1276', '14-579']",30.194136,-85.813634,,FALSE,,
34034-006-000,200 RICHARD JACKSON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),57180,1,2001,OFFICE LOW,PRECAST PN,BUILT-UP,DRYWALL,FIREPROOF,CLAY TILE; CARPET,,,,,,"['14-1442', '14-1069']",30.192575,-85.81493,,FALSE,,
34034-005-038,130 RICHARD JACKSON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),6989,1,2020,OFFICE LOW,PRECAST PN,POLY TPO,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,,30.194831,-85.81326,,FALSE,,
34034-005-038,130 RICHARD JACKSON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),17550,1,2020,OFFICE LOW,PRECAST PN,POLY TPO,DRYWALL,STEEL,CARPET; CLAY TILE,,,,,,,30.194831,-85.81326,,FALSE,,
34034-005-033,120 RICHARD JACKSON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),36000,2,2004,OFFICE LOW,PRECAST PN,BUILT-UP,DRYWALL,FIREPROOF,CARPET; HARDTILE,,,,,,"['18-0532', '16-1612', '15-1160', '15-1152']",30.196271,-85.814115,,FALSE,,
34034-005-032,100 RICHARD JACKSON BLVD PANAMA CITY BEACH 32407,OFFICE BLD (001700),36206,2,2002,OFFICE LOW,PRECAST PN,BUILT-UP,DRYWALL,FIREPROOF,CARPET; HARDTILE,,,,,,['18-0785'],30.195417,-85.812703,,FALSE,,
33998-000-000,12216 PC BCH PKWY PANAMA CITY BEACH 32407,OFFICE BLD (001700),13125,1,1996,STORE RETL,WD FR STUC; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,,30.206105,-85.828666,,FALSE,,
33990-030-000,13220 P C BEACH PKWY PANAMA CITY BEACH 32407,OFFICE BLD (001700),6327,1,1969,OFFICE LOW,CB STUCCO,POLY TPO,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,"['202000669', '202000369', '214', '7289', '6563']",30.207368,-85.842512,,FALSE,,
33990-010-000,13200 PANAMA CITY BEACH PKWY PANAMA CITY BEACH 32407,OFFICE BLD (001700),8604,1,1994,OFFICE LOW,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE,,,,,,"['2008725', '921', '0727', '', '6742']",30.207162,-85.842472,,FALSE,,
33811-000-000,14700 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),19794,1,2007,OFFICE HGH,CB STUCCO,MODULAR MT,DRYWALL,MASONARY,CLAY TILE,,,,,,"['201904637', '17-0902', '13-148', '20081042', '2008713', '2008389', '1078', '2004168', '577', '283', '9800277', '9600681', '7402', '6749', '6410', '5730', '5645', '5019', '915452', '915453', '915454', '915435', '5259', '5128', '5078']",30.206481,-85.858608,,FALSE,,
33811-000-000,14700 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),28128,3,2007,OFFICE LOW,CB STUCCO,MODULAR MT,DRYWALL,MASONARY,CARPET,,,,,,"['201904637', '17-0902', '13-148', '20081042', '2008713', '2008389', '1078', '2004168', '577', '283', '9800277', '9600681', '7402', '6749', '6410', '5730', '5645', '5019', '915452', '915453', '915454', '915435', '5259', '5128', '5078']",30.206481,-85.858608,,FALSE,,
33803-005-050,14251 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),30792,2,2009,OFFICE HGH,ABOVE AVE; COMMON BRK,STAND SEAM,DRYWALL,MASONARY,CONC FINSH; CARPET,,,,,,"['2010863', '2010303', '2010198', '20082199', '20081564']",30.210789,-85.851381,,FALSE,,
33803-005-040,14101 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),37435,3,2008,OFFICE HGH,ABOVE AVE,CLAY TILE,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,"['20200087', '18-0538', '16-0365', '15-2187', '15-1012', '14-0901', '14-0904', '13-256', '1552', '1535', '20081680', '2008799', '1425']",30.212166,-85.853233,,FALSE,,
33768-011-000,15238 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),12201,1,1985,OFFICE LOW,WD FR STUC,BUILT-UP,DECORATIVE,STEEL,CARPET,,,,,,,30.210718,-85.86473,,FALSE,,
33768-011-000,15238 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),3000,1,1986,WAREH STOR,PREFIN MET,MOD METAL,DRYWALL,STEEL,CARPET,,,,,,,30.210718,-85.86473,,FALSE,,
33768-011-000,15238 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),4200,1,1987,WAREH STOR,PREFIN MET,MOD METAL,WALL BD/WD,STEEL,CARPET,,,,,,,30.210718,-85.86473,,FALSE,,
33768-011-000,15238 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),1064,1,1994,WAREH STOR,PREFAB PNL,MOD METAL,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.210718,-85.86473,,FALSE,,
33750-060-000,600 PIER PARK RD S PANAMA CITY BEACH 32413,OFFICE BLD (001700),3310,1,2008,OFFICE HGH,ABOVE AVE; PRECAST PN,,DRYWALL,REIN CONC,CARPET,,,,,,,30.3103,-85.905314,,FALSE,,
33750-060-000,600 PIER PARK RD S PANAMA CITY BEACH 32413,OFFICE BLD (001700),18963,1,2008,RESTAURANT,ABOVE AVE; PRECAST PN,MODULAR MT; STAND SEAM,DECORATIVE,REIN CONC,CLAY TILE; CARPET,,,,,,,30.3103,-85.905314,,FALSE,,
33683-000-000,16428 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),1536,1,1968,OFFICE LOW,CB STUCCO,ENG SHINGL,PLYWOOD,MASONARY,SHT VINYL; CARPET,,,,,,,30.218298,-85.881141,,FALSE,,
33487-000-000,16821 PC BCH PKWY 100 PANAMA CITY BEACH 32413,OFFICE BLD (001700),4390,1,1999,OFFICE LOW,PREFIN MTL; ABOVE AVE,MODULAR MT,DRYWALL,STEEL,CARPET; HARDWOOD,,,,,,,30.228474,-85.88476,,FALSE,,
33486-020-000,16813 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),2750,1,1979,SERV SHOP,PREFIN MTL,MODULAR MT,DRYWALL,STEEL,CARPET,,,,,,,30.228277,-85.884196,,FALSE,,
33429-010-000,205 ARNOLD RD S PANAMA CITY BEACH 32413,OFFICE BLD (001700),1650,1,1980,SERV SHOP,PREFIN MTL; COMMON BRK,MODULAR MT,PLYWOOD,STEEL,CORK/VTILE; CARPET,,,,,,,30.227828,-85.888352,,FALSE,,
33429-010-000,205 ARNOLD RD S PANAMA CITY BEACH 32413,OFFICE BLD (001700),1600,1,2006,WAREH STOR,PREFIN MET,MOD METAL,NONE,STEEL,CONC FINSH,,,,,,,30.227828,-85.888352,,FALSE,,
33412-000-000,400 ARNOLD RD S PANAMA CITY BEACH 32413,OFFICE BLD (001700),3182,1,1994,OFFICE LOW,CB STUCCO; PREFAB PNL,ENG SHINGL,DRYWALL,MASONARY,CARPET; HARDTILE,,,,,,,30.226763,-85.889608,,FALSE,,
33394-000-000,206 ARNOLD RD S PANAMA CITY BEACH 32413,OFFICE BLD (001700),3156,1,1977,OFFICE LOW,CONC BLOCK,ENG SHINGL,MINIMUM,MASONARY,CORK/VTILE; CARPET,,,,,,,30.227768,-85.889168,,FALSE,,
33392-070-000,200 ARNOLD RD S PANAMA CITY BEACH 32413,OFFICE BLD (001700),1694,1,1983,OFFICE LOW,CB STUCCO; VINYL,BUILT-UP,DECORATIVE,MASONARY,SHT VINYL; CARPET,,,,,,,30.228122,-85.889138,,FALSE,,
33362-000-000,268 ARNOLD RD S PANAMA CITY BEACH 32413,OFFICE BLD (001700),6529,1,1964,STORE RETL,CONC BLOCK,MODULAR MT,DRYWALL,MASONARY,ASPH TILE; CARPET,,,,,,"['20103', '6349', '6670']",30.224402,-85.890764,,FALSE,,
33352-000-000,16818 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),7443,1,1970,OFFICE LOW,WD SIDING; GLASS THRM,BUILT-UP,PLYWOOD,MASONARY,CARPET,,,,,,,30.220974,-85.886074,,FALSE,,
33352-000-000,16818 FRONT BEACH RD PANAMA CITY BEACH 32413,OFFICE BLD (001700),2601,1,1979,RESTAURANT,WD FR STUC; STONE,MODULAR MT,DRYWALL,WOOD FRAME,CLAY TILE,,,,,,,30.220974,-85.886074,,FALSE,,
33167-010-000,17304 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),5319,1,2006,OFFICE LOW,WD FR STUC; PREFIN MTL,MODULAR MT; CLAY TILE,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,['4886'],30.231751,-85.891049,,FALSE,,
33165-010-000,507 ARNOLD RD N PANAMA CITY BEACH 32413,OFFICE BLD (001700),980,1,1987,OFFICE LOW,PREFAB PNL,MODULAR MT,PLYWOOD,WOOD FRAME,SHT VINYL; CARPET,,,,,,,30.234191,-85.886386,,FALSE,,
33110-000-000,303 ARNOLD RD N PANAMA CITY BEACH 32413,OFFICE BLD (001700),1015,1,1973,STORE RETL,WD FR STUC,MINIMUM,PLYWOOD,WOOD FRAME,CLAY TILE; PINE WOOD,,,,,,,30.232473,-85.88712,,FALSE,,
33110-000-000,303 ARNOLD RD N PANAMA CITY BEACH 32413,OFFICE BLD (001700),1440,1,1996,OFFICE LOW,VINYL,MINIMUM,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.232473,-85.88712,,FALSE,,
33098-000-000,17200 PC BCH PKWY PANAMA CITY BEACH 32413,OFFICE BLD (001700),10976,1.5,1983,OFFICE LOW,WD FR STUC; VINYL,MODULAR MT,DRYWALL,WOOD FRAME,CARPET; HARDTILE,,,,,,,30.231432,-85.890454,,FALSE,,
33082-000-000,203 ARNOLD RD N PANAMA CITY BEACH 32413,OFFICE BLD (001700),3408,1,2004,OFFICE LOW,WD FR STUC; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,CARPET,,,,,,,30.232166,-85.887181,,FALSE,,
