Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,Occupancy,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unit No,Floor,Living Area,Number of Bedrooms,Number of Bathrooms,Permit Number,Latitude,Longitude,Condo Bldg,Disaster Permit,Disaster Permit Type,Disaster Permit Description
33750-200-000,15501 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),5350,1,2009,BRNCH BANK,ABOVE AVE; COMMON BRK,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.220546,-85.866587,,FALSE,,
33478-050-000,16901 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),12916,2,2004,BRNCH BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.228671,-85.885391,,FALSE,,
32770-000-000,16923 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),198,1,1998,BRNCH BANK,REINF CONC,MODULAR MT,CUST PANEL,STEEL,C ABOVE GD,,,,,,,30.229007,-85.887343,,FALSE,,
32745-050-000,17255 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),4925,1,1987,BRNCH BANK,WD FR STUC,CLAY TILE,DRYWALL; CUST PANEL,STEEL,CARPET; HARDTILE,,,,,,"['13-207', '4437', '9802656']",30.231127,-85.892862,,FALSE,,
30935-015-000,2515 THOMAS DR PANAMA CITY BEACH 32408,FINANCIAL (002300),2465,1.5,2009,BRNCH BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,"['08-1192', '08-0793']",30.158554,-85.752458,,FALSE,,
30933-004-070,2305 THOMAS DR PANAMA CITY BEACH 32408,FINANCIAL (002300),4728,1,2008,BRNCH BANK,CB STUCCO,CLAY TILE,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,30.161806,-85.753991,,FALSE,,
30933-004-010,2405 THOMAS DR PANAMA CITY BEACH 32408,FINANCIAL (002300),5797,1,1997,BRNCH BANK,COMMON BRK,ENG SHINGL,DRYWALL,STEEL,CLAY TILE,,,,,,"['19-05774', '9615189']",30.1608,-85.753468,,FALSE,,
30933-003-000,2509 THOMAS DR PANAMA CITY BEACH 32408,FINANCIAL (002300),5580,1,1994,BRNCH BANK,CB STUCCO,ENG SHINGL,DECORATIVE,MASONARY,CARPET,,,,,,"['DIS19-01505', '08-0677', '9311813']",30.159231,-85.752825,,TRUE,['ROOF'],['COMMERCIAL REPLACEMENT ROOF']
30153-025-000,2209 THOMAS DR PANAMA CITY BEACH 32408,FINANCIAL (002300),2430,1,1985,BRNCH BANK,COMMON BRK,ENG SHINGL,DRYWALL,STEEL,CARPET,,,,,,,30.163219,-85.754517,,FALSE,,
30039-000-000,1000 BECK AVE PANAMA CITY 32401,FINANCIAL (002300),2194,1,1907,BRNCH BANK,CB STUCCO,POLY TPO,PLASTER; PLYWOOD,MASONARY,CORK/VTILE,,,,,,,30.167558,-85.701364,,FALSE,,
28472-000-000,3109 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),3420,1,2016,BRNCH BANK,WD FR STUC,ENG SHINGL,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.189281,-85.701509,,FALSE,,
27874-000-000,7713 FRONT BEACH RD PANAMA CITY BEACH 32408,FINANCIAL (002300),3660,1,2012,BRNCH BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.185804,-85.770405,,FALSE,,
27857-020-000,7915 PC BCH PKWY PANAMA CITY BEACH 32407,FINANCIAL (002300),4734,1,1983,BRNCH BANK,WD FR STUC,CLAY TILE,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.18813,-85.773177,,FALSE,,
27854-010-000,7522 FRONT BEACH RD PANAMA CITY BEACH 32407,FINANCIAL (002300),12199,2,1997,BANK,PRECAST PN,STAND SEAM,CUST PANEL,STEEL,HARDTILE,,,,,,,30.187809,-85.76715,,FALSE,,
27660-000-000,9001 FRONT BEACH RD PANAMA CITY BEACH 32408,FINANCIAL (002300),3928,1,1988,BRNCH BANK,COMMON BRK,BUILT-UP,DRYWALL,STEEL,CARPET,,,,,,,30.181748,-85.786856,,FALSE,,
19930-000-000,800 HARRISON AVE PANAMA CITY 32401,FINANCIAL (002300),5071,1,1973,BRNCH BANK,COMMON BRK; PRECAST PN,POLY TPO,PLYWOOD; DRYWALL,MASONARY,CARPET,,,,,,,30.162687,-85.660038,,FALSE,,
19512-000-000,200 5TH ST W PANAMA CITY 32401,FINANCIAL (002300),2510,1,1972,BRNCH BANK,COMMON BRK,POLY TPO,DRYWALL,STEEL,CARPET,,,,,,,30.157399,-85.662947,,FALSE,,
19512-000-000,200 5TH ST W PANAMA CITY 32401,FINANCIAL (002300),5020,1,1972,BRNCH BANK,COMMON BRK,CLAY TILE,DRYWALL,STEEL,CARPET,,,,,,,30.157399,-85.662947,,FALSE,,
18074-000-000,1038 HARRISON AVE PANAMA CITY 32401,FINANCIAL (002300),5076,1,1998,BRNCH BANK,COMMON BRK,POLY TPO,DECORATIVE,STEEL,CARPET; HARDTILE,,,,,,,30.16761,-85.659829,,FALSE,,
14426-010-000,601 HWY 231 PANAMA CITY 32405,FINANCIAL (002300),14028,1,1980,BANK,WD FR STUC; CB STUCCO,ENG SHINGL,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,30.180974,-85.653614,,FALSE,,
14415-020-000,450 23RD ST E PANAMA CITY 32405,FINANCIAL (002300),6115,1,2008,BRNCH BANK,WD FR STUC,MODULAR MT,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.189057,-85.654471,,FALSE,,
14190-010-000,220 19TH ST W PANAMA CITY 32405,FINANCIAL (002300),5631,1,2004,BRNCH BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.182803,-85.662152,,FALSE,,
14189-020-000,101 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),11964,1,2020,BANK,COMMON BRK,POLY TPO,DRYWALL,WOOD FRAME,VINYL PLNK; CARPET,,,,,,,30.189283,-85.659881,,FALSE,,
14168-105-000,511 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),8436,1,1990,BRNCH BANK,COMMON BRK,ENG SHINGL,DRYWALL,MASONARY,CARPET; HARDTILE,,,,,,,30.189329,-85.667446,,FALSE,,
14168-030-001,469 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),22450,2,1991,BANK,WD FR STUC,MODULAR MT,DRYWALL,STEEL,CARPET; HARDTILE,,,,,,,30.188952,-85.666167,,FALSE,,
14168-030-001,469 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),2235,1,1990,BRNCH BANK,WD FR STUC,MODULAR MT; MINIMUM,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.188952,-85.666167,,FALSE,,
13793-000-000,2200 STANFORD RD PANAMA CITY 32405,FINANCIAL (002300),14678,3,2004,BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.188667,-85.675283,,FALSE,,
13209-055-000,1002 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),41134,4,1989,OFFICE HGH,GLASS THRM; COMMON BRK,BUILT-UP,DRYWALL; DECORATIVE,FIREPROOF,CARPET,,,,,,,30.190353,-85.676294,,FALSE,,
13209-041-000,1022 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),7756,1,1999,RESTAURANT,COMMON BRK,MODULAR MT,DRYWALL,STEEL,ASPH TILE,,,,,,,30.190274,-85.677769,,FALSE,,
13199-000-000,1418 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),13521,2,2008,BANK,CONC BLOCK; COMMON BRK,STAND SEAM,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,,30.190129,-85.684971,,FALSE,,
13189-010-000,1602 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),3117,1.5,2003,BRNCH BANK,WD FR STUC; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,CARPET,,,,,,,30.190205,-85.686737,,FALSE,,
13016-104-000,112 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),14177,1.5,1991,BANK,COMMON BRK,ENG SHINGL,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.190579,-85.661639,,FALSE,,
13016-002-000,400 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),3600,1,2001,BANK,WD FR STUC; COMMON BRK,ENG SHINGL,DRYWALL,WOOD FRAME,CORK/VTILE,,,,,,,30.190036,-85.666962,,FALSE,,
13008-010-000,704 23RD ST W PANAMA CITY 32405,FINANCIAL (002300),4423,1.5,1988,BRNCH BANK,WD FR STUC,MODULAR MT,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.191117,-85.671558,,FALSE,,
12980-010-000,2305 HWY 77 PANAMA CITY 32405,FINANCIAL (002300),17715,2,1983,BANK,COMMON BRK,POLY TPO,DRYWALL,STEEL,CARPET; VINYL PLNK,,,,,,,30.189944,-85.650463,,FALSE,,
