Edition,Zone 1,Zone 2,Zone 3
ASCE 7-95,-6.4883551842605645,-6.4883551842605645,-4.18138445207903
ASCE 7-98,-5.790857001952553,-5.790857001952553,-3.707374059451105
ASCE 7-10,-5.790857001952553,-5.790857001952553,-3.707374059451105
ASCE 7-16,-5.790857001952553,-5.790857001952553,-3.707374059451105
