damage_measure,theta1mean,theta1sd,theta1hdi_2.5%,theta1hdi_97.5%,theta1mcse_mean,theta1mcse_sd,theta1ess_bulk,theta1ess_tail,theta1r_hat,theta2mean,theta2sd,theta2hdi_2.5%,theta2hdi_97.5%,theta2mcse_mean,theta2mcse_sd,theta2ess_bulk,theta2ess_tail,theta2r_hat,draws,target_accept
1,127.254,0.835,125.584,128.924,0,0,7217,9247,1,0.111,0.007,0.097,0.125,0,0,7080,9003,1,10000,0.9
2,157.648,3.173,151.469,163.827,0,0,5437,5883,1,0.227,0.015,0.199,0.257,0,0,5401,6383,1,10000,0.9
3,167.501,4.008,159.652,175.183,0,0,4757,5730,1,0.235,0.015,0.204,0.265,0,0,4866,6220,1,10000,0.9
