damage_measure,theta1mean,theta1sd,theta1hdi_2.5%,theta1hdi_97.5%,theta1mcse_mean,theta1mcse_sd,theta1ess_bulk,theta1ess_tail,theta1r_hat,theta2mean,theta2sd,theta2hdi_2.5%,theta2hdi_97.5%,theta2mcse_mean,theta2mcse_sd,theta2ess_bulk,theta2ess_tail,theta2r_hat,draws,target_accept
1,127.995,1.272,125.451,130.539,0,0,7741,10199,1,0.118,0.01,0.099,0.138,0,0,8078,11032,1,12000,0.9
2,155.343,3.657,148.665,162.657,0,0,5600,7862,1,0.215,0.016,0.185,0.248,0,0,5757,8720,1,12000,0.9
3,167.268,4.611,158.523,176.331,0,0,6577,9382,1,0.223,0.016,0.191,0.255,0,0,6322,9429,1,12000,0.9
