ID,Lat,,Vg_mph,Vsus_mph,Lon
140096,25.889999,97.260002,46.25,35.97,-97.260002
140097,25.889999,97.269997,46.04,35.8,-97.269997
140098,25.889999,97.279999,45.82,35.63,-97.279999
140099,25.889999,97.290001,45.61,35.47,-97.290001
140100,25.889999,97.300003,45.4,35.3,-97.300003
140101,25.9,97.150002,48.69,37.88,-97.150002
140102,25.9,97.160004,48.48,37.72,-97.160004
140103,25.9,97.169998,48.29,37.56,-97.169998
140104,25.9,97.18,48.09,37.41,-97.18
140105,25.9,97.190002,47.89,37.25,-97.190002
140106,25.9,97.199997,47.68,37.09,-97.199997
140107,25.9,97.209999,47.48,36.93,-97.209999
140108,25.9,97.220001,47.25,36.75,-97.220001
140109,25.9,97.230003,47.03,36.58,-97.230003
140110,25.9,97.239998,46.8,36.4,-97.239998
140111,25.9,97.25,46.59,36.23,-97.25
140112,25.9,97.260002,46.37,36.06,-97.260002
140113,25.9,97.269997,46.16,35.9,-97.269997
140114,25.9,97.279999,45.95,35.73,-97.279999
140115,25.9,97.290001,45.74,35.57,-97.290001
140116,25.9,97.300003,45.53,35.4,-97.300003
140117,25.9,97.309998,45.31,35.23,-97.309998
140118,25.9,97.32,45.08,35.05,-97.32
140119,25.9,97.330002,44.86,34.87,-97.330002
140120,25.91,97.150002,48.86,38.02,-97.150002
140121,25.91,97.160004,48.65,37.85,-97.160004
140122,25.91,97.169998,48.45,37.69,-97.169998
140123,25.91,97.18,48.25,37.53,-97.18
140124,25.91,97.190002,48.05,37.37,-97.190002
140125,25.91,97.199997,47.84,37.21,-97.199997
140126,25.91,97.209999,47.62,37.04,-97.209999
140127,25.91,97.220001,47.39,36.86,-97.220001
140128,25.91,97.230003,47.17,36.69,-97.230003
140129,25.91,97.239998,46.94,36.51,-97.239998
140130,25.91,97.25,46.71,36.33,-97.25
140131,25.91,97.260002,46.5,36.16,-97.260002
140132,25.91,97.269997,46.28,35.99,-97.269997
140133,25.91,97.279999,46.07,35.83,-97.279999
140134,25.91,97.290001,45.86,35.66,-97.290001
140135,25.91,97.300003,45.65,35.5,-97.300003
140136,25.91,97.309998,45.44,35.33,-97.309998
140137,25.91,97.32,45.21,35.15,-97.32
140138,25.91,97.330002,44.98,34.97,-97.330002
140139,25.91,97.339996,44.76,34.8,-97.339996
140140,25.91,97.349998,44.54,34.63,-97.349998
140141,25.92,97.150002,49.04,38.15,-97.150002
140142,25.92,97.160004,48.83,37.99,-97.160004
140143,25.92,97.169998,48.62,37.82,-97.169998
140144,25.92,97.18,48.41,37.66,-97.18
140145,25.92,97.190002,48.2,37.5,-97.190002
140146,25.92,97.199997,47.99,37.33,-97.199997
140147,25.92,97.209999,47.76,37.15,-97.209999
140148,25.92,97.220001,47.53,36.97,-97.220001
140149,25.92,97.230003,47.31,36.79,-97.230003
140150,25.92,97.239998,47.08,36.62,-97.239998
140151,25.92,97.25,46.85,36.44,-97.25
140152,25.92,97.260002,46.62,36.26,-97.260002
140153,25.92,97.269997,46.41,36.09,-97.269997
140154,25.92,97.279999,46.2,35.93,-97.279999
140155,25.92,97.290001,45.99,35.76,-97.290001
140156,25.92,97.300003,45.78,35.6,-97.300003
140157,25.92,97.309998,45.56,35.42,-97.309998
140158,25.92,97.32,45.34,35.25,-97.32
140159,25.92,97.330002,45.11,35.07,-97.330002
140160,25.92,97.339996,44.87,34.89,-97.339996
140161,25.92,97.349998,44.66,34.72,-97.349998
140162,25.92,97.360001,44.44,34.55,-97.360001
140163,25.93,97.150002,49.22,38.29,-97.150002
140164,25.93,97.160004,49,38.12,-97.160004
140165,25.93,97.169998,48.78,37.95,-97.169998
140166,25.93,97.18,48.57,37.79,-97.18
140167,25.93,97.190002,48.36,37.62,-97.190002
140168,25.93,97.199997,48.13,37.44,-97.199997
140169,25.93,97.209999,47.9,37.26,-97.209999
140170,25.93,97.220001,47.67,37.08,-97.220001
140171,25.93,97.230003,47.44,36.9,-97.230003
140172,25.93,97.239998,47.22,36.72,-97.239998
140173,25.93,97.25,46.99,36.54,-97.25
140174,25.93,97.260002,46.76,36.36,-97.260002
140175,25.93,97.269997,46.53,36.19,-97.269997
140176,25.93,97.279999,46.32,36.02,-97.279999
140177,25.93,97.290001,46.11,35.86,-97.290001
140178,25.93,97.300003,45.9,35.69,-97.300003
140179,25.93,97.309998,45.68,35.52,-97.309998
140180,25.93,97.32,45.46,35.35,-97.32
140181,25.93,97.330002,45.24,35.17,-97.330002
140182,25.93,97.339996,45.01,34.99,-97.339996
140183,25.93,97.349998,44.77,34.81,-97.349998
