Edition,Zone 1,Zone 2
ASCE 7-95,-8.795325916442097,-5.334869818169796
ASCE 7-98,-7.874339944454,-4.749115530701829
ASCE 7-10,-7.874339944454,-4.749115530701829
ASCE 7-16,-7.874339944454,-4.749115530701829
