Edition,18 ft,27 ft,36 ft,45 ft,54 ft,9 ft
ASCE 7-95,0.053472524138149624,0.18286450944590119,0.28419739125365856,0.36873810664220164,0.44192798808843226,0.0
ASCE 7-98,0.0,0.0,0.05347252413815007,0.12282426199355095,0.18286450944590138,0.0
ASCE 7-10,0.0,0.0,0.05347252413815007,0.12282426199355095,0.18286450944590138,0.0
ASCE 7-16,0.0,0.0,0.05347252413815007,0.12282426199355095,0.18286450944590138,0.0
