Edition,Zone 4+,Zone 4-,Zone 5+,Zone 5-
ASCE 7-95,6.4138592543672015,-7.154312751089529,6.4138592543672015,-8.303292314969003
ASCE 7-98,7.818582007219353,-8.721204930027321,7.818582007219353,-10.121826706798302
ASCE 7-10,7.818582007219353,-8.721204930027321,7.818582007219353,-10.121826706798302
ASCE 7-16,7.818582007219353,-8.721204930027321,7.818582007219353,-10.121826706798302
