Source 1 Roof,Source 2 Roof,Source 1 Hit,Source 2 Hit,Target Glazing Pressure,Target Glazing WBD,Target Roof Pressure
0,0.0,0.007789568509472898,0,0,281.1660042090598,0.0,0.0
1,0.0,0.0,0,0,325.7970911521174,0.0,0.0
2,0.0,0.0,0,0,0.0,0.0,0.0
3,0.0,0.0,0,0,0.0,0.0,0.0
4,0.0,0.0,0,0,0.0,0.0,0.0
5,0.0,0.0008889567583887933,0,1,65.05806686977387,0.0,0.0013095123361145013
6,0.0,0.0,0,0,117.27728660300365,0.0,0.012886104190033809
7,0.0,0.0,0,0,273.7275538383302,0.0,0.004606021360013855
8,0.0,0.0,0,0,91.2425179461101,0.0,0.011892861729310714
9,0.0,0.0,0,0,556.8312167819985,0.0,0.009577820167024796
10,0.0,0.0,0,0,0.0,0.0,0.011892861729310714
11,0.0,0.0,0,0,0.0,0.0,0.012886104190033809
12,0.0,0.0,0,0,0.0,0.0,0.011892861729310714
13,0.0,0.0,0,0,262.4320331252209,0.0,0.0
14,0.0,0.0,0,0,270.2124846530808,0.0,0.004606021360013855
15,0.0,0.0,0,0,0.0,0.0,0.0
16,0.0,0.0,0,0,0.0,0.0,0.0
17,0.0,0.0,0,0,0.0,0.0,0.0
18,0.0,0.0,0,0,0.0,0.0,0.0
19,0.0,0.0,0,0,270.2124846530805,0.0,0.0
20,0.0,0.0,0,0,0.0,0.0,0.004606021360013855
21,0.0,0.0,0,0,657.7022559091652,0.0,0.0
22,0.0,0.0,0,0,91.2425179461101,0.0,0.011892861729310714
23,0.0,0.007490185488523891,0,0,0.0,0.0,0.0
24,0.0,0.0,0,0,327.7774633108345,0.0,0.0
25,0.0,0.0,0,0,131.21601656261046,0.0,0.0013095123361145013
26,0.0,0.0,0,0,0.0,0.0,0.0
27,0.0,0.0,0,0,327.7774633108345,0.0,0.0
28,0.0,0.0,0,0,0.0,0.0,0.0
29,0.0,0.0,0,0,0.0,0.0,0.0
30,0.0,0.0,0,0,0.0,0.0,0.0
31,0.0,0.0,0,0,0.0,0.0,0.0
32,0.0,0.0,0,0,117.27728660300365,0.0,0.0
33,0.0,0.0,0,0,0.0,0.0,0.0
34,0.0,0.0,0,0,0.0,0.0,2.3930486882586148e-05
35,0.0,0.0,0,0,293.19321148071134,0.0,0.004606021360013855
36,0.0,0.0,0,0,0.0,0.0,0.0
37,0.0,0.0,0,0,718.1258979920967,0.0,0.0013095123361145013
38,0.0,0.0,0,0,0.0,0.0,0.0
39,0.0,0.0,0,0,131.2160165626103,0.0,0.0
40,0.0,0.0,0,0,445.05474991383835,0.0,0.0
41,0.0,0.0,0,0,0.0,0.0,0.0
42,0.0,0.0,0,0,686.9473616757526,0.0,0.012886104190033809
43,0.0,0.0,0,0,540.4249693061615,0.0,0.0
44,0.0,0.0,0,0,234.5545732060073,0.0,0.0
45,0.0,0.007639876998998384,0,0,270.2124846530805,0.0,1.1965243441293074e-05
46,0.0,0.0,0,0,270.2124846530808,0.0,0.0
