71,0
72,0.004
73,0.004
74,0.005
75,0.006
76,0.007
77,0.008
78,0.009
79,0.01
80,0.011
81,0.011
82,0.011
83,0.013
84,0.016
85,0.018
86,0.018
87,0.018
88,0.018
89,0.023
90,0.028
91,0.033
92,0.039
93,0.04
94,0.04
95,0.043
96,0.046
97,0.048
98,0.05
99,0.056
100,0.064
101,0.074
102,0.084
103,0.093
104,0.099
105,0.104
106,0.115
107,0.125
108,0.135
109,0.145
110,0.155
111,0.166
112,0.178
113,0.204
114,0.238
115,0.262
116,0.281
117,0.299
118,0.32
119,0.344
120,0.369
121,0.394
122,0.417
123,0.439
124,0.465
125,0.492
126,0.528
127,0.561
128,0.588
129,0.61
130,0.631
131,0.657
132,0.683
133,0.707
134,0.732
135,0.762
136,0.796
137,0.827
138,0.85
139,0.871
140,0.889
141,0.901
142,0.91
143,0.919
144,0.929
145,0.937
146,0.943
147,0.95
148,0.96
149,0.968
150,0.976
151,0.983
152,0.99
153,0.993
154,0.993
155,0.996
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
