70,0
71,0.017
72,0.02
73,0.023
74,0.025
75,0.028
76,0.031
77,0.035
78,0.038
79,0.041
80,0.045
81,0.052
82,0.059
83,0.066
84,0.073
85,0.081
86,0.09
87,0.099
88,0.108
89,0.117
90,0.127
91,0.14
92,0.154
93,0.167
94,0.181
95,0.194
96,0.213
97,0.232
98,0.252
99,0.271
100,0.29
101,0.311
102,0.333
103,0.354
104,0.375
105,0.396
106,0.42
107,0.444
108,0.468
109,0.492
110,0.516
111,0.537
112,0.559
113,0.58
114,0.601
115,0.622
116,0.64
117,0.659
118,0.677
119,0.696
120,0.713
121,0.73
122,0.746
123,0.762
124,0.779
125,0.795
126,0.808
127,0.822
128,0.836
129,0.85
130,0.862
131,0.87
132,0.879
133,0.888
134,0.896
135,0.904
136,0.91
137,0.917
138,0.923
139,0.929
140,0.935
141,0.938
142,0.942
143,0.945
144,0.948
145,0.952
146,0.956
147,0.959
148,0.963
149,0.967
150,0.971
151,0.973
152,0.975
153,0.977
154,0.979
155,0.981
156,0.983
157,0.985
158,0.986
159,0.988
160,0.99
161,0.992
162,0.994
163,0.996
164,0.998
165,1
166,1.001
167,1.002
168,1.003
169,1.004
170,1.004
171,1.005
172,1.005
173,1.006
174,1.006
175,1.006
176,1.006
177,1.006
178,1.006
179,1.006
180,1.006
181,1.006
182,1.006
183,1.006
184,1.006
185,1.006
186,1.007
187,1.007
188,1.008
189,1.008
190,1.008
191,1.008
192,1.007
193,1.007
194,1.007
195,1.006
196,1.006
197,1.006
198,1.006
199,1.006
