BLDGID4,REGION4,CENDIV4,SQFTC4,PBA4,HTCNTL4,HTTHRM4,RDHTNF4,BOILER4,FURNAC4,SLFCON4,PKGHT4,HTPMPH4,DUCTHT4,REHEAT4,FNCLHT4,BBDRAD4,OTHTEQ4,OTHTQ14,CLCNTL4,CLTHRM4,RDCLNF4,CHILLR4,ACWNWL4,PKGCL4,HTPMPC4,DUCTCL4,FNCLCL4,OTCLEQ4,OTCLQ14,CHLYRC4,PKCYRC4,CFRIG4,CFRZR4,RFRIG4,RFRZR4,ICE4,SODA4,WTRCL4,OTREF4,OTREF14,PORVAC4,VAC3MP4,MONUSE4,YRCONC4,WLCNS4,RFCNS4,COMPRM4,GENER4,COGEN4,GRID4,PURPA4,FACIL4,PLANT4,BLDPLT4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,FACACT4,FACTSRC4
4493,3,5,5,2,1,2,2,2,2,2,2,1,2,2,2,2,2,,1,2,2,2,2,2,1,2,2,2,,,,2,2,1,2,2,1,1,2,,2,0,12,8,3,4,1,2,,,,1,1,2,235.54,4,1,1,2,2,2,2,7,1
4494,3,6,9,2,2,,1,1,2,1,1,2,1,1,1,2,2,,2,,1,1,1,1,2,1,1,2,,3,3,1,1,1,1,1,1,1,2,,2,0,12,6,3,4,1,2,,,,2,,,5,3,1,1,1,2,2,2,,
4495,2,4,3,5,2,,2,2,1,2,2,2,1,2,2,2,2,,2,,2,2,2,1,2,1,2,2,,,3,1,1,2,2,2,1,2,2,,2,0,12,4,4,4,2,2,,,,2,,,682.05,12,2,1,1,2,2,2,,
4496,4,9,6,4,2,,2,1,2,2,2,2,1,1,1,1,2,,2,,1,1,1,2,2,1,1,2,,2,,1,1,2,2,1,1,2,2,,2,0,12,5,5,4,2,2,,,,1,1,2,1.73,7,1,1,2,1,1,1,1,2
4497,4,8,4,12,2,,2,2,2,2,1,1,1,2,2,2,2,,2,,2,2,2,1,1,1,2,2,,,4,2,2,1,2,2,2,1,2,,2,0,12,8,3,3,2,2,,,,1,2,,502.74,3,2,1,2,2,2,2,12,3
4498,4,8,7,1,2,,1,1,2,1,2,2,1,1,2,1,2,,2,,1,1,2,1,2,1,1,2,,4,2,2,2,2,2,2,2,1,2,,1,100,7,5,3,4,1,2,,,,1,2,,10.27,15,2,1,1,2,2,2,4,3
4499,4,8,4,12,1,1,1,2,2,2,1,1,1,2,2,2,2,,1,1,1,2,2,1,1,1,2,1,1,,2,2,2,1,2,2,1,1,2,,2,0,12,5,6,5,2,2,,,,2,,,268.52,7,2,1,2,2,2,2,,
4500,4,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,2,2,,1,100,0,4,5,3,2,2,,,,2,,,1509.24,7,1,2,2,2,2,2,,
4501,1,1,5,3,1,1,1,1,2,2,2,2,2,2,1,1,2,,1,1,2,2,1,2,2,2,2,2,,,,2,2,1,2,2,1,1,2,,2,0,12,5,6,4,1,2,,,,2,,,250.94,12,2,1,2,1,2,2,,
4502,4,9,9,15,2,,7,2,2,2,2,2,1,1,1,2,2,,2,,7,2,1,2,2,1,1,2,,,,1,1,1,2,1,1,1,2,,2,0,12,5,4,4,1,2,,,,2,,,10.04,16,2,1,1,1,1,1,,
