BLDGID4,REGION4,CENDIV4,SQFTC4,PBA4,HTCNTL4,HTTHRM4,RDHTNF4,BOILER4,FURNAC4,SLFCON4,PKGHT4,HTPMPH4,DUCTHT4,REHEAT4,FNCLHT4,BBDRAD4,OTHTEQ4,OTHTQ14,CLCNTL4,CLTHRM4,RDCLNF4,CHILLR4,ACWNWL4,PKGCL4,HTPMPC4,DUCTCL4,FNCLCL4,OTCLEQ4,OTCLQ14,CHLYRC4,PKCYRC4,CFRIG4,CFRZR4,RFRIG4,RFRZR4,ICE4,SODA4,WTRCL4,OTREF4,OTREF14,PORVAC4,VAC3MP4,MONUSE4,YRCONC4,WLCNS4,RFCNS4,COMPRM4,GENER4,COGEN4,GRID4,PURPA4,FACIL4,PLANT4,BLDPLT4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,FACACT4,FACTSRC4
1,3,7,6,4,1,1,1,1,2,2,2,2,1,1,2,2,2,,1,1,1,2,2,2,2,1,2,2,,,,2,2,1,2,1,1,1,1,2,2,0,12,5,4,4,2,2,,,,1,1,2,1.13,,0,1,1,2,2,1,1,1
2,2,3,8,2,2,,1,1,2,2,2,2,1,2,2,1,2,,2,,1,1,2,2,2,1,2,2,,4,,2,2,1,2,2,1,1,2,,1,20,12,6,3,4,2,2,,,,1,2,,21.19,5,1,1,2,1,2,2,4,3
3,3,7,4,3,1,2,1,2,1,2,2,2,1,2,2,2,2,,1,2,1,2,2,1,2,2,2,2,,,2,2,2,1,2,2,1,1,2,,2,0,12,4,6,5,2,2,,,,2,,,597.74,10,1,1,1,2,2,2,,
4,2,3,4,13,2,,1,1,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,1,1,2,2,2,1,1,2,,2,0,10,4,4,6,2,2,,,,2,,,584.61,8,2,1,1,2,2,2,,
5,4,9,3,14,2,,1,1,2,2,2,2,1,2,1,2,1,1,,,,,,,,,,,,,,1,1,1,1,2,1,2,2,,2,0,12,3,4,3,2,2,,,,1,2,,1735.25,15,2,1,1,2,2,2,2,3
6,3,5,9,17,,,,,,,,,,,,,,,1,1,2,1,2,1,2,1,1,2,,3,3,1,1,1,1,1,1,1,1,1,2,0,12,3,4,2,1,2,,,,1,1,1,3.13,8,2,1,1,1,2,2,9,1
7,1,2,3,2,1,1,1,1,2,2,2,2,2,2,2,1,2,,1,1,1,2,2,1,2,2,2,2,,,2,2,2,1,2,2,2,1,2,,2,0,12,3,3,4,2,2,,,,2,,,469.94,13,1,1,1,2,2,2,,
8,3,5,5,12,1,1,1,2,1,2,2,1,1,2,2,1,2,,1,1,1,1,2,1,2,1,2,2,,5,2,2,2,1,2,2,1,1,2,,2,0,12,5,4,4,1,2,,,,1,2,,1.03,,0,1,1,2,2,2,12,3
9,4,9,2,19,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,1,2,2,2,1,1,2,2,,,,2,2,1,2,2,1,1,2,,2,0,10,9,6,5,2,2,,,,1,2,,1654.84,15,2,1,2,2,2,2,3,3
10,4,9,4,4,2,,1,2,1,2,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,1,95,,1,2,2,1,1,1,1,1,2,,2,0,12,3,4,3,2,2,,,,2,,,497.59,2,2,1,1,2,2,2,,
11,2,3,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,6,4,4,2,2,,,,1,2,,263.93,5,1,1,2,2,2,2,12,3
12,2,4,6,15,2,,1,1,2,2,1,2,1,2,1,2,2,,2,,1,1,2,1,2,1,1,2,,3,2,1,1,1,1,1,1,1,2,,2,0,12,4,4,6,2,2,,,,2,,,91.63,9,1,1,1,1,2,2,,
13,3,7,3,4,1,1,1,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,3,4,4,2,2,,,,2,,,1597.65,9,1,1,1,2,2,2,,
14,3,5,8,13,2,,1,1,2,1,2,2,1,1,1,1,2,,2,,1,1,2,1,2,1,1,2,,3,5,1,1,1,1,1,1,1,2,,2,0,12,6,4,6,1,2,,,,1,2,,21.99,4,2,1,1,2,2,2,1,3
15,4,8,8,2,2,,1,1,2,1,2,2,1,1,1,2,2,,2,,1,1,1,2,2,2,1,2,,2,,2,2,1,1,1,1,1,2,,2,0,12,5,1,4,1,2,,,,2,,,20,1,1,1,1,2,2,2,,
16,4,9,6,12,1,1,2,2,2,1,1,1,2,2,2,2,2,,1,1,2,2,2,1,1,2,2,2,,,3,2,2,2,2,2,1,1,2,,2,0,12,6,3,4,2,2,,,,1,1,2,163.32,1,1,1,1,2,2,2,7,1
17,2,3,2,2,2,,1,2,1,2,1,2,2,2,2,2,2,,2,,1,2,2,1,2,2,2,2,,,4,2,2,1,2,2,2,2,2,,2,0,12,5,4,4,2,2,,,,2,,,1636.1,14,2,1,1,2,2,2,,
18,3,7,2,4,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,1,2,1,1,2,1,2,2,,,2,2,2,1,2,2,2,1,2,,2,0,12,4,4,3,2,2,,,,2,,,1859.44,13,1,1,1,2,2,2,,
19,2,3,6,3,1,1,1,1,2,1,2,2,1,1,1,1,2,,1,1,1,2,1,1,2,2,1,2,,,2,2,2,1,2,2,1,1,2,,2,0,12,5,4,6,2,2,,,,1,2,,21.19,14,1,1,1,2,2,2,5,3
20,4,8,5,12,1,1,2,2,2,2,1,2,1,1,2,2,2,,2,,1,2,1,1,2,1,2,1,1,,4,2,2,1,2,2,1,1,2,,2,0,12,8,3,4,2,2,,,,2,,,268.52,3,2,1,2,2,2,2,,
21,4,9,7,2,2,,1,1,2,2,2,2,1,1,2,2,2,,2,,1,1,1,1,2,1,1,2,,4,4,1,1,1,2,1,1,1,2,,1,3,12,7,3,4,1,2,,,,2,,,256.39,15,2,1,1,2,2,2,,
22,4,9,6,3,2,,1,2,2,2,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,5,1,1,1,2,1,1,1,2,,2,0,12,9,4,4,1,2,,,,2,,,248.34,3,1,1,2,2,2,2,,
23,4,9,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,7,3,4,2,2,,,,1,1,2,72.41,4,1,1,2,2,2,2,1,2
24,4,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,,1,100,0,3,4,4,2,2,,,,1,2,,1.17,,0,2,2,2,2,2,1,3
25,3,5,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,,1,1,1,2,2,2,1,1,2,2,,,,2,2,2,2,2,2,2,2,,1,50,12,8,4,3,2,2,,,,2,,,1597.64,12,1,1,2,2,2,2,,
26,3,5,4,17,1,1,1,1,2,1,1,1,1,2,1,2,2,,1,1,1,2,1,1,1,1,2,2,,,3,1,1,2,2,1,1,1,2,,2,0,12,6,4,4,2,2,,,,2,,,496.13,16,1,1,2,2,2,2,,
27,3,7,2,13,2,,1,2,2,2,2,1,2,2,2,2,2,,2,,1,2,1,2,1,2,2,2,,,,2,2,2,2,2,2,2,2,,1,100,9,6,6,5,2,2,,,,1,2,,496.13,13,1,1,2,2,2,2,3,3
28,3,5,2,14,2,,2,2,2,2,1,2,1,2,2,2,2,,2,,2,2,2,1,2,1,2,2,,,5,2,2,1,1,1,2,2,2,,2,0,12,6,4,3,2,2,,,,2,,,1472.34,1,2,1,1,2,2,2,,
29,4,8,5,12,1,1,1,2,2,1,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,1,1,,4,2,2,1,2,2,1,2,2,,2,0,12,8,4,4,2,2,,,,2,,,268.52,3,2,1,2,2,2,2,,
30,3,5,4,3,2,,1,2,2,1,2,2,2,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,,,2,2,1,2,2,2,1,2,,2,0,12,3,4,4,2,2,,,,1,2,,1595.2,16,2,1,1,2,2,2,4,3
31,3,7,4,3,2,,1,2,2,2,2,2,1,2,1,2,2,,2,,1,2,2,2,2,1,1,2,,,,2,2,2,2,2,1,1,2,,2,0,12,5,4,4,2,2,,,,1,1,2,5.74,6,2,1,2,2,2,3,5,1
32,1,2,4,4,1,1,1,1,2,1,2,1,2,2,2,1,2,,1,1,2,2,2,2,1,2,2,2,,,,2,2,1,2,2,2,2,2,,2,0,12,5,4,2,2,2,,,,1,2,,257.34,1,1,1,1,1,2,2,13,3
33,3,6,4,17,1,1,1,2,2,1,2,2,2,2,2,2,2,,1,1,1,2,1,2,2,2,2,2,,,,2,2,1,2,1,1,2,2,,2,0,12,6,4,3,1,2,,,,2,,,347.16,10,1,1,1,2,2,2,,
34,2,4,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,2,2,2,2,2,2,2,2,2,,2,0,12,5,4,3,2,2,,,,2,,,2082.26,15,2,1,2,2,2,2,,
35,2,3,5,3,2,,1,2,1,2,2,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,2,1,1,1,2,1,1,1,2,,2,0,12,5,4,4,2,2,,,,2,,,21.19,6,1,1,1,2,2,2,,
36,3,5,5,12,,,,,,,,,,,,,,,2,,2,2,2,1,2,2,2,2,,,5,1,1,1,2,2,1,1,2,,2,0,12,6,4,5,2,2,,,,1,1,2,235.53,6,2,1,2,2,2,2,17,2
37,2,3,6,12,1,1,2,2,1,2,2,2,2,2,2,2,2,,1,1,2,2,1,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,,1,6,12,2,4,4,2,2,,,,2,,,610.82,14,2,1,1,2,2,2,,
38,3,7,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,6,6,5,2,2,,,,1,2,,1595.2,10,2,2,2,2,2,2,12,3
39,2,4,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,4,2,2,1,2,2,1,2,2,,2,0,12,4,5,3,2,2,,,,2,,,1636.1,17,1,1,1,2,2,2,,
40,1,2,4,12,2,,1,2,1,2,2,2,2,2,2,2,2,,2,,1,2,2,1,2,2,2,2,,,3,2,2,1,2,2,1,1,2,,2,0,12,6,6,6,2,2,,,,2,,,597.34,5,1,1,2,1,2,2,,
41,3,7,3,3,1,1,1,2,2,2,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,4,1,2,2,2,1,1,2,2,,2,0,12,4,4,4,2,2,,,,2,,,1932.25,20,2,1,2,2,2,2,,
42,3,5,3,13,2,,1,1,2,2,2,2,2,2,2,2,2,,2,,1,1,2,2,2,2,2,2,,2,,2,2,2,2,2,2,1,2,,1,100,5,5,3,4,2,2,,,,1,1,2,320.86,4,2,1,2,1,2,2,3,1
43,4,9,2,20,1,1,1,2,1,2,2,2,2,2,2,2,2,,1,1,1,2,2,1,2,2,2,2,,,2,2,2,1,2,2,2,2,2,,2,0,12,5,4,3,2,2,,,,2,,,657.7,5,2,1,1,2,2,2,,
44,3,5,4,17,,,,,,,,,,,,,,,1,1,1,2,1,2,2,2,2,2,,,,2,2,1,1,2,1,2,2,,1,15,12,4,4,4,2,2,,,,2,,,1472.34,8,2,1,1,2,2,2,,
45,4,8,2,12,1,1,1,2,2,2,2,1,2,2,2,2,2,,1,1,1,2,2,2,1,2,2,1,1,,,1,1,2,2,2,2,2,2,,2,0,12,6,4,5,2,2,,,,1,2,,1654.83,3,2,1,2,2,2,2,12,3
46,2,3,3,4,1,1,1,1,2,2,2,1,1,1,2,1,2,,,,,,,,,,,,,,,1,1,2,2,2,1,2,2,,2,0,12,1,4,2,2,2,,,,1,1,1,412.5,3,1,1,1,2,2,2,13,2
47,1,2,3,4,1,1,1,1,1,1,2,2,1,1,2,1,2,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,,2,0,12,4,4,3,2,2,,,,2,,,490.89,1,1,1,2,1,2,2,,
48,2,3,3,3,1,2,1,2,2,2,1,2,1,2,2,2,2,,1,2,1,2,2,1,2,1,2,2,,,5,2,2,1,2,2,2,2,2,,2,0,12,3,4,4,2,2,,,,2,,,1904.68,7,1,1,1,2,2,2,,
49,2,3,5,12,1,1,2,2,1,1,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,5,2,2,1,2,2,1,1,2,,2,0,12,6,4,4,2,2,,,,2,,,263.93,5,1,1,1,2,2,2,,
50,2,3,7,4,1,1,1,1,2,2,2,2,2,1,2,2,2,,1,1,1,1,2,2,2,2,2,2,,4,,2,2,1,2,2,1,1,2,,2,0,12,7,4,4,1,2,,,,1,2,,5.03,8,2,1,1,2,2,2,1,3
51,1,2,2,3,1,1,2,2,1,2,2,2,2,2,2,2,2,,1,1,2,2,1,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,,2,0,12,5,5,1,2,2,,,,1,2,,2039.07,14,2,1,1,2,2,2,5,3
52,1,2,3,12,1,1,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,5,4,3,2,2,,,,1,2,,469.94,1,1,1,2,2,2,2,7,3
53,3,7,2,14,1,1,1,2,1,1,2,2,1,2,2,2,2,,1,1,1,2,1,1,2,1,2,2,,,3,1,1,1,1,1,2,2,2,,2,0,12,6,4,3,2,2,,,,2,,,1932.25,9,2,1,1,2,2,2,,
54,3,7,4,12,1,1,1,2,1,1,2,2,1,2,2,2,2,,1,1,1,2,2,1,2,2,2,2,,,5,2,2,2,2,1,1,1,2,,2,0,12,6,4,4,2,2,,,,2,,,498.98,8,2,1,1,2,2,2,,
55,3,7,2,2,2,,1,2,2,2,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,4,2,2,2,2,2,2,1,2,,2,0,12,8,6,5,2,2,,,,2,,,1597.65,10,1,1,2,2,2,2,,
56,3,7,2,12,2,,2,1,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,4,4,4,2,2,,,,1,2,,1472.34,13,2,1,1,2,2,2,9,3
57,4,9,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,3,2,2,2,2,2,2,2,2,,2,0,12,6,6,5,2,2,,,,1,2,,502.74,15,1,1,1,2,2,2,4,3
58,4,9,4,12,,,,,,,,,,,,,,,2,,2,2,2,1,2,2,2,2,,,4,2,2,2,2,2,2,2,2,,2,0,12,6,3,4,2,2,,,,2,,,268.52,7,1,1,2,2,2,2,,
59,3,5,2,7,1,1,1,2,2,2,2,1,2,2,2,2,2,,1,1,1,2,2,2,1,2,2,2,,,,2,2,1,1,2,2,2,2,,2,0,12,3,5,3,2,2,,,,2,,,1472.34,4,2,1,2,2,2,2,,
60,3,5,8,13,1,1,1,2,2,2,1,1,1,1,2,2,2,,1,1,1,1,2,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,95,2,0,12,6,4,4,2,2,,,,1,2,,20.14,4,1,1,2,2,2,2,2,3
61,2,4,2,3,2,,1,2,2,1,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,3,2,2,1,2,2,1,1,2,,2,0,12,6,4,4,2,2,,,,2,,,610.82,17,1,1,1,2,2,2,,
62,3,5,2,4,1,1,1,2,2,2,2,1,1,2,2,2,2,,1,1,1,2,2,2,1,1,2,2,,,,2,2,1,2,2,2,2,2,,2,0,12,8,5,3,2,2,,,,1,2,,2124.65,6,1,1,2,2,2,2,13,3
63,1,2,4,13,1,1,1,1,2,2,2,2,1,2,1,2,2,,1,1,1,1,2,2,2,1,1,2,,4,,2,2,1,1,2,2,1,2,,1,95,12,2,4,6,2,2,,,,1,2,,1377.41,11,2,1,1,2,2,2,2,3
64,3,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,1,100,0,4,4,4,2,2,,,,2,,,98.36,11,2,2,2,2,2,2,,
65,4,8,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,,1,1,1,2,2,2,1,1,2,2,,,,2,2,1,2,2,2,2,2,,2,0,12,7,4,4,2,2,,,,1,2,,1509.24,9,1,1,2,2,2,2,4,3
66,3,6,7,13,2,,1,2,2,2,1,2,2,2,2,2,2,,2,,1,2,2,1,2,2,2,2,,,3,1,1,1,1,1,1,1,2,,2,0,12,6,4,4,2,2,,,,1,2,,16.54,11,2,1,1,2,2,2,2,3
67,2,4,6,13,2,,1,1,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,1,2,1,1,2,1,1,2,,2,0,12,3,4,4,2,2,,,,2,,,324.11,20,2,1,1,2,2,2,,
68,2,3,9,2,2,,1,2,2,1,2,2,1,1,2,2,2,,2,,1,1,2,1,2,2,1,2,,5,4,1,1,1,1,1,1,1,2,,1,15,12,7,1,7,1,2,,,,2,,,10.74,11,1,1,1,2,2,2,,
69,3,5,2,4,1,1,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,,2,0,12,5,4,2,2,2,,,,1,2,,2170.72,6,1,1,2,2,2,2,13,3
70,1,1,3,3,1,1,1,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,4,4,3,2,2,,,,2,,,1468.67,7,1,1,1,2,2,2,,
71,3,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,1,100,0,8,5,3,2,2,,,,1,2,,1472.34,10,2,2,2,2,2,2,13,3
72,2,3,4,12,1,1,1,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,95,2,0,8,4,3,3,2,2,,,,1,2,,1508.84,5,2,1,1,2,2,2,12,3
73,3,6,2,3,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,2,2,2,1,2,1,2,2,,,3,2,2,2,2,2,2,1,2,,2,0,10,6,5,4,2,2,,,,2,,,1472.34,3,2,1,2,2,2,2,,
74,2,4,6,4,2,,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,2,1,1,1,1,1,2,,2,0,12,2,4,6,2,2,,,,2,,,584.61,12,1,1,1,2,2,2,,
75,3,5,3,2,2,,1,2,2,1,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,4,2,2,1,2,2,2,1,2,,2,0,12,8,2,4,2,2,,,,1,2,,1616.48,16,1,1,1,2,2,2,4,3
76,1,1,3,4,1,1,1,1,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,,,,2,2,1,1,2,2,2,2,,2,0,12,2,5,3,2,2,,,,2,,,654.5,12,1,1,2,1,2,2,,
77,2,3,9,2,1,1,1,2,2,2,2,1,2,2,1,2,2,,1,1,1,2,2,2,1,2,2,2,,,,1,1,2,2,2,1,1,2,,1,35,12,9,1,6,1,2,,,,2,,,10.09,5,1,1,2,2,1,2,,
78,1,2,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,3,9,3,2,2,,,,1,2,,157.78,20,2,1,2,2,2,2,12,3
79,1,2,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,3,4,4,2,2,,,,1,1,2,459.35,14,1,1,2,2,2,2,4,1
80,2,3,8,13,2,,1,1,2,2,2,2,1,2,2,2,2,,2,,1,1,2,2,2,1,2,2,,2,,1,1,1,2,1,1,1,2,,2,0,12,5,4,4,2,2,,,,2,,,20.14,5,2,1,1,2,2,2,,
81,3,6,3,14,1,1,2,2,2,2,2,2,1,1,2,2,2,,1,1,2,2,2,1,2,1,2,2,,,4,1,1,2,2,1,1,1,2,,2,0,12,7,3,4,2,2,,,,1,1,2,2944.67,10,2,1,2,2,1,2,7,1
82,3,5,8,3,1,1,1,2,2,1,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,2,2,2,1,2,2,2,1,2,,1,80,12,5,4,5,1,2,,,,1,2,,22.3,8,1,1,1,2,2,2,12,3
83,4,8,9,2,2,,2,1,1,2,2,1,1,1,1,2,2,,2,,2,1,2,1,1,1,1,2,,3,3,1,1,1,2,1,1,1,1,95,2,0,12,6,3,6,1,2,,,,1,1,1,20.41,19,2,1,1,2,2,2,7,1
84,3,5,10,3,1,1,1,2,2,1,2,2,2,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,4,1,1,1,2,1,1,1,2,,1,1,12,8,4,3,1,2,,,,2,,,5.74,7,2,1,1,1,2,2,,
85,4,9,8,2,2,,1,2,2,1,2,2,1,1,2,2,2,,2,,1,2,2,2,2,2,1,2,,,,2,2,1,2,2,1,1,2,,1,46,12,9,4,4,1,2,,,,1,1,2,20.41,2,2,1,2,1,2,2,4,2
86,3,7,4,2,1,2,2,2,1,2,2,2,1,2,2,2,2,,1,2,2,1,2,2,2,1,1,2,,3,,2,2,1,2,2,1,1,2,,2,0,12,6,4,4,1,2,,,,1,1,2,470.24,13,1,1,2,2,2,2,7,1
87,2,3,5,12,1,1,1,2,1,2,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,2,2,2,1,2,2,2,1,2,,2,0,12,5,4,4,2,2,,,,2,,,306.28,17,1,1,1,2,2,2,,
88,1,2,7,12,1,1,1,2,1,2,2,1,2,2,2,2,2,,1,1,1,2,2,2,1,2,2,2,,,,2,2,1,2,2,2,1,2,,2,0,12,6,4,4,2,2,,,,2,,,157.78,15,1,1,2,1,2,2,,
89,2,3,8,2,2,,1,2,2,1,1,2,1,1,2,1,2,,2,,1,1,1,1,2,1,1,2,,3,4,1,2,1,2,1,1,1,2,,2,0,12,3,4,4,1,2,,,,1,1,2,21.48,19,2,1,1,2,1,2,7,1
90,1,2,3,12,1,1,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,2,2,1,2,2,1,1,2,,2,0,12,3,4,5,2,2,,,,1,2,,490.89,10,2,1,2,2,2,2,18,3
91,3,5,9,3,2,,1,2,2,1,2,1,1,2,2,2,2,,2,,1,2,2,2,1,1,2,2,,,,1,1,1,2,1,1,1,2,,2,0,12,6,4,4,2,2,,,,1,2,,22.79,16,2,1,2,2,2,2,5,3
92,4,9,4,17,1,1,7,2,2,1,2,2,2,2,2,2,2,,1,1,7,2,2,1,2,1,2,2,,,2,2,2,2,2,2,2,2,2,,2,0,12,5,4,3,1,2,,,,1,2,,497.58,12,2,1,1,2,2,2,9,3
93,4,9,6,17,2,,7,2,2,2,2,2,1,2,1,1,2,,2,,7,2,2,2,2,1,1,2,,,,2,2,1,2,2,1,1,2,,2,0,12,4,4,4,2,2,,,,1,1,2,1.1,,0,1,1,1,1,1,1,1
94,3,5,4,1,2,,1,2,2,1,2,1,1,2,2,2,2,,2,,1,2,2,2,1,1,2,2,,,,2,2,2,2,1,1,1,2,,1,100,6,5,4,4,1,2,,,,1,2,,259.98,8,1,1,2,2,2,2,18,3
95,1,2,5,12,2,,1,2,1,1,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,3,2,2,2,2,2,1,1,2,,2,0,12,6,4,4,1,2,,,,1,2,,157.78,14,1,1,1,2,2,2,12,3
96,1,1,6,13,2,,1,1,2,1,2,2,1,1,1,1,2,,1,1,1,2,1,2,2,2,2,2,,,,1,1,1,2,2,2,1,2,,1,100,1,9,4,3,2,2,,,,2,,,331.09,9,1,1,2,2,2,2,,
97,1,1,2,3,1,1,2,1,2,2,2,2,2,2,2,1,2,,1,2,1,2,1,2,2,2,2,2,,,,2,2,1,2,2,2,2,2,,2,0,12,5,4,4,2,2,,,,2,,,2718.69,12,1,1,2,1,2,2,,
98,4,9,6,13,2,,1,1,1,1,2,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,4,2,2,2,2,2,1,1,2,,1,2,12,8,4,5,2,2,,,,1,2,,336.81,13,1,1,1,2,2,2,1,3
99,2,3,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,,1,1,1,2,2,1,2,2,2,2,,,5,2,2,1,2,2,2,2,2,,2,0,12,6,5,3,2,2,,,,1,2,,1636.1,6,1,1,1,2,2,2,16,3
100,2,3,4,4,1,1,1,2,1,1,2,2,2,2,2,2,2,,1,1,1,2,1,1,2,2,2,2,,,3,2,2,1,1,1,1,1,2,,2,0,12,4,4,4,2,2,,,,2,,,487.36,15,1,1,1,2,2,2,,
101,4,9,2,13,2,,1,2,2,2,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,4,2,2,1,2,2,2,2,2,,2,0,10,8,4,4,2,2,,,,1,2,,307.35,18,2,1,1,2,2,2,2,3
102,4,8,8,2,2,,1,2,2,2,2,2,1,1,2,2,1,95,2,,1,1,2,2,2,1,1,2,,5,,1,1,2,2,1,1,1,2,,1,25,12,9,3,4,1,2,,,,2,,,10.27,18,2,1,2,2,2,2,,
103,3,7,5,12,1,1,2,2,2,1,1,2,1,2,2,2,2,,1,1,1,2,1,1,2,1,2,2,,,4,1,2,1,2,2,1,1,2,,2,0,12,8,3,6,1,2,,,,2,,,652.28,20,2,1,1,2,2,2,,
104,2,3,5,13,1,1,2,1,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,1,1,2,2,2,1,1,2,,2,0,12,9,4,6,2,2,,,,2,,,509.17,17,2,1,2,1,2,2,,
105,3,5,3,14,2,,1,2,2,2,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,5,1,1,2,2,1,1,2,2,,1,50,10,7,4,4,2,2,,,,2,,,1595.2,16,2,1,2,2,2,2,,
106,3,6,3,4,1,1,7,2,1,2,2,1,1,2,2,2,2,,1,1,2,2,2,2,1,1,2,2,,,,2,2,1,1,1,1,2,2,,1,100,6,1,4,5,2,2,,,,2,,,1836.5,18,1,1,2,2,2,2,,
107,4,8,4,12,1,1,1,2,2,2,2,1,1,2,2,2,2,,1,1,1,2,2,2,1,1,2,1,1,,,2,2,1,2,2,1,1,2,,2,0,12,8,3,1,1,2,,,,2,,,268.52,3,2,1,2,2,2,2,,
108,1,2,5,13,2,,1,1,2,1,2,1,1,2,2,1,2,,1,1,1,2,1,2,2,2,2,2,,,,1,1,1,1,1,1,1,2,,2,0,12,5,4,4,2,2,,,,1,2,,23.73,1,1,1,1,1,2,2,2,3
109,1,1,2,4,1,1,1,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,5,4,6,2,2,,,,1,1,2,317.29,12,2,1,2,2,2,1,4,1
110,1,1,4,3,1,1,7,2,2,1,1,2,1,2,2,2,2,,1,1,7,2,1,1,2,2,2,2,,,5,2,2,2,2,2,2,1,2,,2,0,12,6,4,5,2,2,,,,1,2,,10.28,17,1,1,1,2,2,2,18,3
111,4,9,5,2,1,1,2,2,2,2,1,2,1,2,2,2,2,,1,1,2,2,1,1,2,1,2,2,,,4,2,2,1,2,2,1,1,2,,2,0,12,7,4,4,2,2,,,,2,,,323.85,15,1,1,1,2,2,2,,
112,3,6,4,20,2,,2,2,2,1,2,1,1,2,2,2,2,,2,,2,2,2,2,1,2,2,2,,,,2,2,1,2,1,1,1,2,,2,0,12,7,4,5,2,2,,,,2,,,652.28,18,1,1,2,2,2,2,,
113,3,5,8,12,2,,1,1,1,1,1,2,1,2,2,2,2,,2,,1,1,2,1,2,1,2,2,,5,5,1,2,1,2,1,1,1,2,,2,0,12,9,6,6,1,2,,,,2,,,10.09,4,1,1,1,2,2,2,,
114,3,7,6,13,2,,1,2,2,2,2,2,1,1,1,2,2,,2,,1,2,2,2,2,1,1,2,,,,2,2,2,2,2,2,1,2,,2,0,12,6,4,4,2,2,,,,1,1,2,306.28,8,1,1,2,2,1,2,1,1
