damage_measure,theta1mean,theta1sd,theta1hdi_2.5%,theta1hdi_97.5%,theta1mcse_mean,theta1mcse_sd,theta1ess_bulk,theta1ess_tail,theta1r_hat,theta2mean,theta2sd,theta2hdi_2.5%,theta2hdi_97.5%,theta2mcse_mean,theta2mcse_sd,theta2ess_bulk,theta2ess_tail,theta2r_hat,draws,target_accept
1,110.635,5.341,100.716,121.862,0,0,11448,10287,1,0.173,0.03,0.115,0.231,0,0,10522,7683,1,10000,0.9
2,111.834,5.123,101.697,121.862,0.001,0,7930,7838,1,0.157,0.03,0.097,0.214,0,0,8481,6679,1,10000,0.95
3,142.245,10.464,122.189,162.301,0.001,0.001,7168,9984,1,0.177,0.028,0.124,0.232,0,0,7894,7566,1,10000,0.95
