Id,ParcelId,Address,OccupancyClass,PlanArea,NumberOfStories,YearBuilt,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssueDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude,RoofShape,LULC,County,FloodZone,DWSII,Garage,RoofSlope,AvgJanTemp,City,State,BldgHeight,HeightUnit,RoofReplaceYear,HazusGBM
808,33010-000-000,138 CHRISTOPHER DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2510,1.0,2002,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; HARDTILE,"['17-1888', 'B0630', '0201147']","['20170914', '20030317', '20020617']","['RERF', 'RENO', 'NC']","['RERF', 'RENOVATION', 'NEW CONST.']","['0', '890', '100,000']",30.230491,-85.881229,gab,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2002,WSF1_gab_0_8s_strap_no_1_3
809,33006-000-000,168 CHRISTOPHER DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1988,1.0,1979,COMMON BRK,ENG SHINGL,PLYWOOD; DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['2007-628', '6686', '5014']","['20070405', '19951113', '19900806']","['RERF', 'ROOF', 'ADD']","['RE-ROOF', 'ROOF', 'ADDITION']","['4,900', '2,300', '2,000']",30.230473,-85.880088,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_gab_1_8d_tnail_wkd_0_3
810,32995-000-000,147 CHRISTOPHER DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2548,1.0,1982,COMMON BRK; VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['2216', '5602']","['20001219', '19941122']","['ADD', 'ROOF']","['ADDITION', 'ROOF']","['10,000', '2,640']",30.230934,-85.881114,hip,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_hip_1_6d_tnail_no_1_3
811,32993-000-000,121 CHRISTOPHER DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1496,1.0,1998,AVERAGE,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET,"['201803344', '02041', '0301039', '']","['20181206', '20030915', '20030512', '19900928']","['RERF', 'POOL', 'RERF', '']","['RERF', 'POOLS', 'RE-ROOF', 'N/A']","['0', '21,400', '6,000', '0']",30.230633,-85.881948,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1998,WSF1_hip_1_6d_strap_std_0_3
812,32990-000-000,119 CHRISTOPHER DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2392,1.0,1983,AVERAGE; COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['16-0913', '925536']","['20160926', '19920203']","['RERF', 'ADD']","['RERF', 'ADDITION']","['0', '1,350']",30.229787,-85.882159,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1983,WSF1_gab_1_8d_tnail_wkd_0_3
813,32988-000-000,109 CHRISTOPHER DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1930,1.0,1997,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; HARDTILE,['9601973'],['19961220'],['NC'],['NEW CONST.'],"['75,000']",30.229153,-85.882409,hip,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1997,WSF1_hip_1_8d_strap_no_1_3
814,32977-000-000,144 HALF ACRE LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1708,1.0,1977,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,30.231202,-85.881824,hip,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1977,WSF1_hip_1_8d_tnail_no_1_3
815,32974-000-000,167 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1800,1.0,2004,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,['03-01757'],['20030815'],['NC'],['NEW CONST.'],"['80,370']",30.23132,-85.881126,gab,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2004,WSF1_gab_1_8s_strap_no_1_3
816,32960-000-000,126 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1719,1.0,1998,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['202003611', '201904343', '16-1045']","['20210203', '20191122', '20160511']","['RENO', 'RERF', 'ADD']","['RENOVATION', 'RE-ROOF', 'ADDITION']","['30,000', '0', '0']",30.229292,-85.87876,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1998,WSF1_gab_1_8d_strap_std_0_3
817,32959-000-000,132 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),2696,1.0,1995,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['16-1028', '5897']","['20160509', '19950522']","['RERF', 'NC']","['RERF', 'NEW CONST.']","['0', '50,000']",30.229515,-85.878728,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_hip_1_8d_strap_std_0_3
