Id,ParcelId,Address,OccupancyClass,PlanArea,NumberOfStories,YearBuilt,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssueDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude,RoofShape,LULC,County,FloodZone,DWSII,Garage,RoofSlope,AvgJanTemp,City,State,BldgHeight,HeightUnit,RoofReplaceYear,HazusGBM
1,38515-000-000,306 SAN SOUCI ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2016,1.0,1985,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,HARDWOOD,['17-0526'],['20170310'],['RERF'],['RERF'],['0'],30.235477,-85.913374,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1985,WSF1_hip_1_8d_tnail_wkd_0_3
2,38514-000-000,310 SAN SOUCI ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2116,1.5,1967,CB STUCCO,ENG SHINGL,DRYWALL,MASONARY,TERRAZZO,['17-1435'],['20170705'],['RERF'],['RERF'],['0'],30.235203,-85.913368,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1967,WSF1_gab_1_8d_tnail_wkd_0_3
3,38512-000-000,314 SAN SOUCI ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2337,1.0,1954,AL SIDING,ENG SHINGL,PLYWOOD,NONE REPORTED,SHT VINYL; CARPET,"['16-1279', '1848']","['20160615', '19990928']","['RERF', 'RERF']","['RERF', 'RE-ROOF']","['0', '1,300']",30.234938,-85.913372,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1954,WSF1_hip_1_8d_tnail_wkd_0_3
4,38510-000-000,315 WELLS ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),1780,1.0,1959,CB STUCCO,ENG SHINGL,PLYWOOD; DRYWALL,MASONARY,CLAY TILE; CARPET,"['11-1378', '5714']","['20111004', '19950207']","['ADD', 'NC']","['SCREEN ROOM', 'NEW CONST.']","['5,300', '5,000']",30.235131,-85.913692,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1959,WSF1_hip_1_8d_tnail_wkd_0_3
5,38505-000-000,301 WELLS ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2817,1.0,1971,CONC BLOCK; AVERAGE,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['19-00715', '1396']","['20190213', '20010829']","['RERF', 'RERF']","['RE-ROOF', 'RE-ROOF']","['0', '3,275']",30.235907,-85.913683,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1971,WSF1_gab_1_8d_tnail_wkd_0_3
6,38501-000-000,253 DEERMONT ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),1180,1.0,1966,CB STUCCO,ENG SHINGL,PLASTER,NONE REPORTED,TERRAZZO,"['201900213', '9510539', '5336']","['20190116', '19951016', '19910702']","['RERF', 'ROOF', 'ALTR']","['RE-ROOF', 'ROOF', 'ALTERATION']","['0', '0', '5,000']",30.235577,-85.914353,hip,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_hip_1_6d_tnail_no_1_3
7,38454-050-000,301 SANDS ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),2126,1.0,1989,CEDAR,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['202101911', '4897', '5609']","['20210421', '20040505', '19941128']","['RERF', 'RERF', 'XTRA']","['RE-ROOF', 'RE-ROOF', 'EXTRA FEAT']","['0', '0', '9,500']",30.236264,-85.91082,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1989,WSF1_gab_1_8d_tnail_wkd_0_3
8,38448-000-000,229 CATHY PL PANAMA CITY BEACH 32413,SINGLE FAM (000100),1384,1.0,1980,CONC BLOCK,ENG SHINGL,DRYWALL,MASONARY,CLAY TILE,"['201902063', '201901465', '1008']","['20190522', '20190405', '20050427']","['POOL', 'RERF', 'RERF']","['POOLS', 'RE-ROOF', 'RE-ROOF']","['22,200', '5,200', '3,595']",30.235374,-85.911631,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1980,WSF1_gab_1_6d_tnail_wkd_0_3
9,38441-010-000,317 VESTAVIA ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),2832,1.0,2011,ABOVE AVG.,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,['2011129'],['20110208'],['NC'],['NEW CONST.'],"['115,000']",30.234756,-85.91229,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2011,WSF1_gab_1_8s_strap_sup_1_3
10,38412-030-000,17881 LYNN ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),2426,1.0,1953,CONC BLOCK,ENG SHINGL,PLASTER,NONE REPORTED,VINYL ASB,"['202000548', '915471']","['20200226', '19911121']","['RERF', 'ROOF']","['RE-ROOF', 'ROOF']","['0', '2,000']",30.236351,-85.915075,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1991,WSF1_hip_1_6d_tnail_wkd_0_3
11,38409-000-000,250 SEAKOVE ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),1810,1.0,1987,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['201902419', '20081668', '9603559']","['20190624', '20080625', '19960319']","['RERF', 'NC', 'ROOF']","['RE-ROOF', 'NEW CONST.', 'ROOF']","['0', '165', '0']",30.236131,-85.915451,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1996,WSF1_gab_1_8d_tnail_wkd_0_3
12,38406-000-000,254 SEAKOVE ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),2060,1.0,1957,CB STUCCO,ENG SHINGL,PLYWOOD,NONE REPORTED,SHT VINYL; CARPET,"['202000279', '201076', '6263']","['20200127', '20100128', '19951016']","['RERF', 'RERF', 'ROOF']","['RE-ROOF', 'RE-ROOF', 'ROOF']","['0', '2,480', '2,000']",30.235973,-85.915462,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_hip_1_6d_tnail_wkd_0_3
13,38404-003-000,17549 SUNTIME ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),1879,1.0,1991,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['202002359', '202002360', '16-2466', '6353', '93-6303']","['20200827', '20200827', '20161215', '19931102', '19930929']","['RERF', 'REP', 'RERF', 'ADD', 'POOL']","['RE-ROOF', 'REPAIR GARAGE', 'RERF', 'ADDITION', 'POOL']","['0', '16,568', '0', '5,200', '15,000']",30.232892,-85.903575,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1991,WSF1_gab_1_6d_tnail_wkd_0_3
14,38379-000-000,249 SHALIMAR ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),1498,1.0,1970,CONC BLOCK,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['18-2018', '07-1102', '60318']","['20180420', '20070621', '20060213']","['RERF', 'XTRA', 'RERF']","['RERF', 'ALUMINUM CARPORT', 'RE-ROOF']","['0', '4,000', '0']",30.231,-85.9054,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1970,WSF1_gab_1_6d_tnail_wkd_0_3
15,38333-050-351,125 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2777,1.0,1997,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['13-921', '2075']","['20130524', '20011115']","['RERF', 'POOL']","['REROOF', 'POOLS']","['0', '18,000']",30.230482,-85.89533,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1997,WSF1_gab_1_8d_strap_std_0_3
16,38333-050-346,217 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2628,1.0,2012,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['12-391', '2012104', '20111010']","['20120306', '20120120', '20110825']","['ADD', 'POOL', 'NC']","['SCREEN POOL ENCLOS', 'POOL', 'SINGLE FAMILY']","['7,000', '27,400', '143,440']",30.229939,-85.899118,hip,0.03,BAY,V,133.0,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2012,WSF1_hip_1_8s_strap_sup_1_3
17,38333-050-343,223 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2420,1.0,1998,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['202000606', '17-0461', 'B875', '9800204']","['20200312', '20170302', '20020422', '19980210']","['POOL', 'RERF', 'ADD', 'NC']","['POOLS', 'RERF', 'ADDITION', 'NEW CONST.']","['54,000', '0', '650', '80,000']",30.230544,-85.899119,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1998,WSF1_gab_1_8d_strap_std_0_3
18,38333-050-337,216 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2623,1.0,1998,WD FR STUC,ENG SHINGL,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,['201902489'],['20190628'],['RERF'],['RE-ROOF'],['0'],30.229879,-85.898571,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1998,WSF1_gab_1_6d_strap_std_0_3
19,38333-050-333,208 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2596,1.0,1998,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['202000867', '20062271', '20061670', '03-01489', '834', '9800569']","['20200528', '20061211', '20061015', '20030710', '19990506', '19980408']","['RERF', 'POOL', 'ADD', 'XTRA', 'ADD', 'NC']","['RE-ROOF', 'POOLS', 'ADDITION', 'EXTRA FEAT', 'ADDITION', 'NEW CONST.']","['0', '21,500', '12,000', '2,500', '880', '95,000']",30.22916,-85.898596,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1998,WSF1_gab_1_8d_strap_std_0_3
20,38333-050-322,114 NAUTICAL WAY PANAMA CITY BEACH 32413,SINGLE FAM (000100),2673,1.0,1996,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['13-337', '9800401', '7034']","['20130306', '19980310', '19951228']","['RERF', 'XTRA', 'NC']","['RERF', 'EXTRA FEAT', 'NEW CONST.']","['0', '15,850', '90,000']",30.229914,-85.897715,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1996,WSF1_hip_1_6d_strap_std_0_3
21,38333-050-321,112 NAUTICAL WAY PANAMA CITY BEACH 32413,SINGLE FAM (000100),2937,1.0,1996,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['16-0004', '7030']","['20160104', '19951229']","['RERF', 'NC']","['RERF', 'NEW CONST.']","['0', '149,000']",30.229933,-85.897473,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1996,WSF1_gab_1_6d_strap_std_0_3
22,38333-050-317,101 NAUTICAL WAY PANAMA CITY BEACH 32413,SINGLE FAM (000100),2166,1.0,1998,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['202102044', '202101421', '202101531', '15-1997', '20101263', '9800274']","['20210520', '20210407', '20210407', '20151112', '20101122', '19980223']","['POOL', 'STOR', 'RENO', 'RERF', 'RENO', 'NC']","['POOLS', 'ACCESSORY BLDG', 'ENCLOSE PORCH', 'RERF', 'INTR', 'NEW CONST.']","['53,375', '5,635', '15,050', '0', '3,424', '90,000']",30.230118,-85.896282,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1998,WSF1_gab_1_6d_strap_std_0_3
23,38333-050-309,140 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2491,1.0,1997,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,['18-0592'],['20180228'],['RERF'],['RERF'],['0'],30.229142,-85.896696,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1997,WSF1_gab_1_6d_strap_std_0_3
24,38333-050-306,134 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2436,1.0,1996,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['18-0991', '16-1101', '9800459']","['20180406', '20160519', '19980320']","['RERF', 'RENO', 'XTRA']","['RERF', 'RENO', 'EXTRA FEAT']","['0', '5,000', '11,000']",30.229464,-85.896141,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1996,WSF1_gab_1_8d_strap_std_0_3
25,38333-050-301,124 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2921,1.0,1997,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,['9700780'],['19970522'],['NC'],['NEW CONST.'],"['104,000']",30.230378,-85.89587,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1997,WSF1_gab_1_6d_strap_std_0_3
26,38333-050-200,110 LEEWARD WAY PANAMA CITY BEACH 32413,SINGLE FAM (000100),1828,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['13-1842', '5247']","['20130927', '19940427']","['RERF', 'NC']","['RERF', 'NEW CONST.']","['0', '55,000']",30.232628,-85.89821,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_hip_1_8d_strap_std_0_3
27,38333-050-193,110 BONAIRE DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1760,1.0,1998,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; HARDWOOD,['9800499'],['19980325'],['NC'],['NEW CONST.'],"['78,000']",30.233007,-85.898542,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1998,WSF1_hip_1_8d_strap_std_0_3
28,38333-050-192,108 LEEWARD WAY PANAMA CITY BEACH 32413,SINGLE FAM (000100),2097,1.0,1995,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['18-0653', '5841']","['20180307', '19950419']","['RERF', 'NC']","['RERF', 'NEW CONST.']","['0', '65,000']",30.232862,-85.898204,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_hip_1_8d_strap_std_0_3
29,38333-050-188,104 BONAIRE DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),3186,1.0,2004,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,HARDWOOD; CLAY TILE,"['17-1742', '1466', '4618', '2004381', '2004138']","['20170822', '20040722', '20040402', '20040227', '20040122']","['RERF', 'ENCL', 'ADD', 'POOL', 'NC']","['RERF', 'SCREEN ENC', 'ADDITION', 'POOLS', 'NEW CONST.']","['0', '5,400', '2,000', '25,000', '200,000']",30.232631,-85.89773,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2004,WSF1_hip_1_8s_strap_sup_1_3
30,38333-050-187,102 BONAIRE DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2106,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,VINYL PLNK; CLAY TILE,"['0076', '2174', '2162']","['20020115', '19991112', '19991110']","['ADD', 'ADD', 'POOL']","['ADDITION', 'ADDITION', 'POOLS']","['1,020', '5,500', '125,000']",30.232578,-85.897474,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_gab_1_8d_strap_std_0_3
31,38333-050-184,121 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),3166,1.0,2002,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['B781', 'B438', '1354']","['20020404', '20020227', '20010823']","['ADD', 'POOL', 'NC']","['ADDITION', 'POOLS', 'NEW CONST.']","['5,150', '17,000', '160,497']",30.230855,-85.89538,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2002,WSF1_gab_1_8s_strap_sup_1_3
32,38333-050-180,113 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2409,1.0,1996,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE,"['7093', '7521']","['19960110', '19960416']","['NC', 'XTRA']","['NEW CONST.', 'EXTRA FEAT']","['80,000', '15,000']",30.231471,-85.896046,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1996,WSF1_gab_1_6d_strap_std_0_3
33,38333-050-177,107 SUMMER BREEZE RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),2167,1.0,1999,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,['1106'],['19990617'],['NC'],['NEW CONST.'],"['65,000']",30.23193,-85.896485,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1999,WSF1_gab_1_6d_strap_std_0_3
34,38333-050-173,98 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2658,1.0,1995,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['12-1228', '5641']","['20120831', '19941215']","['ROOF', 'NC']","['ROOF', 'NEW CONST.']","['0', '73,000']",30.230692,-85.895932,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2012,WSF1_hip_1_8s_strap_std_0_3
35,38333-050-172,100 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2508,1.0,1995,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['16-2222', '0025', '5570']","['20161103', '20000106', '19941104']","['RERF', 'POOL', 'NC']","['RERF', 'POOLS', 'NEW CONST.']","['0', '13,000', '80,000']",30.230567,-85.896102,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_gab_1_8d_strap_std_0_3
36,38333-050-167,110 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2427,1.0,1995,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['42482', '1104', '989703', '5775']","['20041122', '20000710', '19980625', '19950314']","['RERF', 'ADD', 'XTRA', 'NC']","['RE-ROOF', 'ADDITION', 'EXTRA FEAT', 'NEW CONST.']","['0', '10,000', '22,000', '69,000']",30.230199,-85.897028,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_gab_1_8d_strap_std_0_3
37,38333-050-166,112 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2416,1.0,1995,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['12-555', '5731']","['20120412', '19950217']","['RERF', 'NC']","['REROOF', 'NEW CONST.']","['0', '73,000']",30.230203,-85.897249,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_hip_1_6d_strap_std_0_3
38,38333-050-164,116 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2656,1.0,1995,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['13-2114', '4596', '03-01324', '5668']","['20131101', '20040331', '20030616', '19950113']","['RERF', 'ADD', 'XTRA', 'NC']","['RERF', 'ADDITION', 'EXTRA FEAT', 'NEW CONST.']","['0', '2,125', '16,500', '65,000']",30.230234,-85.897686,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_gab_1_6d_strap_std_0_3
39,38333-050-159,115 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2107,1.0,1998,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['202002632', 'SP849', '9800531']","['20200925', '20020418', '19980401']","['RERF', 'POOL', 'NC']","['RE-ROOF', 'POOLS', 'NEW CONST.']","['0', '15,830', '76,468']",30.23072,-85.897946,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1998,WSF1_gab_1_8d_strap_std_0_3
40,38333-050-158,113 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2576,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,HARDWOOD; CLAY TILE,"['935', '9801383', '5212']","['20020501', '19980804', '19940412']","['ADD', 'XTRA', 'NC']","['ADDITION', 'EXTRA FEAT', 'NEW CONST.']","['5,250', '12,000', '90,000']",30.230703,-85.897704,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_hip_1_6d_strap_std_0_3
41,38333-050-156,109 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2306,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['15-2118', '5228', '5189']","['20151207', '19940420', '19940325']","['RERF', 'ADD', 'NC']","['RERF', 'ADDITION', 'NEW CONST.']","['0', '1,400', '80,000']",30.230702,-85.897269,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_gab_1_6d_strap_std_0_3
42,38333-050-155,107 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2512,1.0,1995,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['15-1697', '2011188', '931', '936', '5623']","['20150921', '20110217', '20020501', '20020501', '19941206']","['RERF', 'POOL', 'RENO', 'ADD', 'NC']","['RERF', 'POOLS', 'RENOVATION', 'ADDITION', 'NEW CONST.']","['0', '28,022', '1,100', '1,590', '75,000']",30.230693,-85.897036,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_hip_1_8d_strap_std_0_3
43,38333-050-153,103 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2386,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['14-01465', '7107', '6746']","['20140805', '19960112', '19951116']","['RERF', 'XTRA', 'NC']","['RERF', 'EXTRA FEAT', 'NEW CONST.']","['0', '4,500', '12,000']",30.230778,-85.896623,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_gab_1_8d_strap_std_0_3
44,38333-050-152,101 BIMINI CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2071,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,['5700'],['19950201'],['XTRA'],['EXTRA FEAT'],"['10,000']",30.230907,-85.896414,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_gab_1_6d_strap_std_0_3
45,38333-050-149,100 WINDWARD CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2267,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,HARDWOOD; CARPET,"['15-0910', '51645', '5746', '5225', '5219']","['20150521', '20050627', '19950227', '19940419', '19940413']","['RERF', 'ADD', 'XTRA', 'NC', 'NC']","['RERF', 'ADDITION', 'EXTRA FEAT', 'NEW CONST.', 'NEW CONST.']","['0', '9,350', '9,500', '60,000', '72,000']",30.231112,-85.896679,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_gab_1_6d_strap_std_0_3
46,38333-050-147,104 WINDWARD CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2002,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['17-2508', '5576']","['20171128', '19941109']","['RERF', 'XTRA']","['RERF', 'EXTRA FEAT']","['0', '10,000']",30.231011,-85.897128,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_gab_1_8d_strap_std_0_3
47,38333-050-139,107 WINDWARD CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2135,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['11-1478', '9706748', '5204']","['20111020', '19970623', '19940406']","['ROOF', 'XTRA', 'NC']","['ROOF', 'EXTRA FEAT', 'NEW CONST.']","['0', '4,640', '57,000']",30.231473,-85.897756,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2011,WSF1_gab_1_8s_strap_std_0_3
48,38333-050-138,105 WINDWARD CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2524,1.0,1995,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['13-1544', 'B669', '5624']","['20130827', '20050318', '19941206']","['ADD', 'POOL', 'NC']","['POOL ENCLOSURE', 'POOLS', 'NEW CONST.']","['14,200', '23,280', '69,000']",30.231461,-85.897554,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_hip_1_6d_strap_std_0_3
49,38333-050-136,101 WINDWARD CT PANAMA CITY BEACH 32413,SINGLE FAM (000100),2232,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['202101788', '201802960', '13-2157', '13-2156', '42093', '5913', '5206']","['20210525', '20181101', '20131108', '20131107', '20041005', '19950530', '19940407']","['ENCL', 'RERF', 'DEM', 'POOL', 'RERF', 'XTRA', 'NC']","['POOL ENCLOSURE', 'RERF', 'DEMO POOL', 'NEW POOL', 'RE-ROOF', 'EXTRA FEAT', 'NEW CONST.']","['20,000', '0', '0', '39,519', '11,900', '8,500', '70,000']",30.231457,-85.897113,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_hip_1_8d_strap_std_0_3
