Id,ParcelId,Address,OccupancyClass,PlanArea,NumberOfStories,YearBuilt,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssueDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude,RoofShape,RoofPitch,LULC,DWSII,County,FloodZone,Garage,RoofSlope,AvgJanTemp,City,State,BldgHeight,HeightUnit,Footprint,LatF,LonF,RoofReplaceYear,HazusGBMs,HazusGBM
149,04222-024-000,406 LA SIESTA DR MEXICO BEACH 32410,SINGLE FAM (000100),2496.0,1,2005.0,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['19MB-RR0052', '5-07']","['20190111', '20050221']","['RERF', 'NC']","['RE-ROOF', 'NEW CONST.']","['0', '198,000']",29.940109,-85.389794,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.389726, 29.940004], [-85.389726, 29.940108], [-85.389911, 29.940108], [-85.389911, 29.939937], [-85.389835, 29.939937], [-85.389836, 29.940004], [-85.389726, 29.940004]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94003819,-85.3898299,2005.0,WSF1_hip_0_8s_strap_sup_1_3,WSF1_hip_1_8s_strap_sup_1_3
150,04222-014-000,409 15TH ST N MEXICO BEACH 32410,SINGLE FAM (000100),2388.0,1,2003.0,VINYL; COMMON BRK,ENG SHINGL,DRYWALL,WOOD FRAME,CLAY TILE,"['19MB-RR0134', 'RF-1441', 'B1100']","['20190220', '20030926', '20030428']","['RERF', 'ROOF', 'NC']","['RE-ROOF', 'ROOF', 'NEW CONST.']","['0', '0', '100,000']",29.940493,-85.389296,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.38939, 29.940574], [-85.38939, 29.94043], [-85.389288, 29.94043], [-85.389288, 29.940409], [-85.389237, 29.940409], [-85.389237, 29.940574], [-85.38939, 29.940574]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94049818,-85.38931114,2003.0,WSF1_gab_0_8s_strap_sup_1_3,WSF1_gab_0_8s_strap_sup_1_3
151,04222-012-000,413 15TH ST MEXICO BEACH 32410,SINGLE FAM (000100),2446.0,1,2003.0,ABOVE AVG.; COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE,"['18MB-RR0214', 'RF-1108', 'B1103', 'B464', 'B1407', 'B1260', 'B307', 'MH429']","['20181220', '20030724', '20030428', '20020228', '20010730', '20010709', '20010215', '20001115']","['RERF', 'ROOF', 'NC', 'NC', 'ADD', 'ADD', 'ADD', 'MH']","['RE-ROOF', 'ROOF', 'NEW CONST.', 'NEW CONST.', 'ADDITION', 'ADDITION', 'ADDITION', 'MOBILE HME']","['0', '0', '100,000', '98,000', '2,500', '700', '500', '0']",29.94049,-85.389555,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.389508, 29.940444], [-85.389508, 29.940537], [-85.389626, 29.940537], [-85.389626, 29.940444], [-85.389508, 29.940444]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.9404905,-85.389567,2003.0,WSF1_hip_0_8s_strap_sup_1_3,WSF1_hip_0_8s_strap_sup_1_3
152,04222-010-000,423 15TH ST N MEXICO BEACH 32410,SINGLE FAM (000100),2557.0,1,2003.0,VINYL; COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['19MB-RR0070', 'RF-1528', 'B1101']","['20190118', '20031014', '20030428']","['RERF', 'ROOF', 'NC']","['RE-ROOF', 'ROOF', 'NEW CONST.']","['0', '0', '100,000']",29.940488,-85.389814,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.38991, 29.940423], [-85.38976, 29.940423], [-85.38976, 29.940565], [-85.38991, 29.940565], [-85.38991, 29.940423]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.940494,-85.389835,2003.0,WSF1_hip_0_8s_strap_sup_1_3,WSF1_hip_0_8s_strap_sup_1_3
153,04221-045-000,301 HATLEY DR MEXICO BEACH 32410,SINGLE FAM (000100),3341.0,1,2003.0,ABOVE AVG.,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; HARDWOOD,"['19MB-RB0372', '19MB-RB0210', '19MB-RR0175', 'B1041']","['20190620', '20190409', '20190304', '20020502']","['REMO', 'REMO', 'RERF', 'NC']","['REMODEL', 'REMODEL', 'RE-ROOF', 'NEW CONST.']","['35,000', '40,000', '0', '79,488']",29.941155,-85.40243,gab,9.462322208,0.03,166.5382839,BAY,V,0,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.402417, 29.941038], [-85.402334, 29.94112], [-85.402452, 29.941209], [-85.402535, 29.941127], [-85.402417, 29.941038]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.9411235,-85.4024345,2003.0,WSF1_gab_1_8s_strap_no_1_3,WSF1_gab_1_8s_strap_no_1_3
154,04221-025-000,309 HATLEY DR MEXICO BEACH 32410,SINGLE FAM (000100),1844.0,1,1984.0,PREFAB; COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['19MB-RB0052', '19MB-RR0076']","['20190128', '20190122']","['REMO', 'RERF']","['REMODEL', 'RE-ROOF']","['30,000', '0']",29.941922,-85.401762,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.401781, 29.94179], [-85.401653, 29.941927], [-85.401728, 29.941981], [-85.401857, 29.941844], [-85.401781, 29.94179]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94188542,-85.40175485,1984.0,WSF1_gab_1_6d_tnail_wkd_0_3,WSF1_gab_1_8d_tnail_wkd_0_3
155,04221-015-000,313 HATLEY DR MEXICO BEACH 32410,SINGLE FAM (000100),1843.0,1,1983.0,AVERAGE; COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; VINYL PLNK,['RF1685'],['20021210'],['RERF'],['RE-ROOF'],['0'],29.941218,-85.402302,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.402417, 29.941038], [-85.402334, 29.94112], [-85.402452, 29.941209], [-85.402535, 29.941127], [-85.402417, 29.941038]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.9411235,-85.4024345,1983.0,WSF1_gab_1_8d_tnail_wkd_0_3,WSF1_gab_1_8d_tnail_wkd_0_3
156,04206-000-000,62 HWY 98 MEXICO BEACH 32410,SINGLE FAM (000100),911.0,1,1958.0,CONC BLOCK,ENG SHINGL,CUST PANEL,NONE REPORTED,ASPH TILE,"['21MB-RB0141', '19MB-RB0615', '19MB-RB0555', '19MB-RR0013']","['20210729', '20191203', '20191003', '20190103']","['STOR', 'REMO', 'DECK', 'RERF']","['POLE BARN/SHED', 'REMODEL', 'DECK', 'RE-ROOF']","['4,617', '30,000', '8,000', '0']",29.928894,-85.392075,gab,9.462322208,0.03,166.5382839,BAY,V,0,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.392185, 29.928861], [-85.39211, 29.928796], [-85.392031, 29.928865], [-85.392106, 29.92893], [-85.392185, 29.928861]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.928863,-85.392108,1958.0,WSF1_gab_1_6d_tnail_no_0_3,WSF1_gab_1_8d_tnail_no_1_3
157,04195-000-000,64 HWY 98 MEXICO BEACH 32410,SINGLE FAM (000100),1835.0,1,1955.0,CB STUCCO,ENG SHINGL,DRYWALL,NONE REPORTED,HARDWOOD; PINE WOOD,"['19MB-RR0046', '17-3713', '16-3159', '9603245']","['20190110', '20171115', '20160517', '19960312']","['RERF', 'DECK', 'RERF', 'ROOF']","['RE-ROOF', 'DECK', 'RERF', 'ROOF']","['0', '0', '0', '0']",29.929016,-85.392162,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.3920943871791, 29.92907489281158], [-85.39209438725872, 29.928957107153224], [-85.39222961274127, 29.928957107153224], [-85.3922296128209, 29.92907489281158]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.929016,-85.392162,1955.0,WSF1_hip_1_8d_tnail_wkd_0_3,WSF1_hip_1_6d_tnail_wkd_0_3
158,04188-113-000,406 5TH ST MEXICO BEACH 32410,SINGLE FAM (000100),2986.0,1,2007.0,AVERAGE,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['18MB-RR0134', '166-0335', '9512778']","['20181213', '20061031', '19951115']","['RERF', 'NC', 'ROOF']","['RE-ROOF', 'NEW CONST.', 'ROOF']","['0', '264,882', '0']",29.9372,-85.393706,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.393985, 29.937195], [-85.393978, 29.937049], [-85.393744, 29.937056], [-85.39375, 29.937203], [-85.393985, 29.937195]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.93712581,-85.39386412,2007.0,WSF1_gab_0_8s_strap_sup_1_3,WSF1_gab_1_8s_strap_sup_1_3
