Id,ParcelId,Address,OccupancyClass,PlanArea,NumberOfStories,YearBuilt,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssueDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude,RoofShape,RoofPitch,LULC,DWSII,County,FloodZone,Garage,RoofSlope,AvgJanTemp,City,State,BldgHeight,HeightUnit,Footprint,LatF,LonF,RoofReplaceYear,HazusGBMs,HazusGBM
159,04188-030-000,410 5TH ST MEXICO BEACH 32410,SINGLE FAM (000100),2536.0,1,2001.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE,"['21MB-RB0068', '21MB-RB0036', '19MB-RR0328', 'B1840', 'B763', 'B644']","['20210423', '20210302', '20190711', '20020812', '20010424', '20010406']","['ENCL', 'POOL', 'RERF', 'ADD', 'ADD', 'NC']","['PATIO ENCLOSURE', 'POOL/HOT TUB', 'RE-ROOF', 'ADDITION', 'ADDITION', 'NEW CONST.']","['23,495', '44,388', '0', '1,584', '1,200', '79,968']",29.937526,-85.393416,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.393625, 29.937508], [-85.393519, 29.937416], [-85.393392, 29.937527], [-85.393498, 29.937619], [-85.393625, 29.937508]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.9375175,-85.3935085,2001.0,WSF1_hip_1_8d_strap_std_0_3,WSF1_hip_1_8d_strap_std_0_3
160,04185-513-000,108 PARADISE COVE BLVD MEXICO BEACH 32456,SINGLE FAM (000100),3378.0,1,2005.0,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['20MB-RB0183', '19MB-RB0451', '19MB-RB0257', '18MB-RR0146', '1004-15']","['20200520', '20190807', '20190423', '20181205', '20050110']","['STOR', 'RENO', 'REMO', 'RERF', 'NC']","['POLE BARN/SHED', 'PATIO ENCLOSURE', 'REMODEL', 'RE-ROOF', 'NEW CONST.']","['6,720', '22,000', '3,700', '0', '0']",29.94244,-85.392406,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.39231425144462, 29.94251990485083], [-85.39231425159127, 29.94236009508435], [-85.39249774840872, 29.94236009508435], [-85.39249774855537, 29.94251990485083]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94244,-85.392406,2005.0,WSF1_hip_1_8s_strap_sup_1_3,WSF1_hip_0_8s_strap_sup_1_3
161,04185-511-000,104 PARADISE COVE BLVD MEXICO BEACH 32410,SINGLE FAM (000100),2626.0,1,2006.0,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['19MB-RR0054', '21610991', '6019-05']","['20190115', '20100216', '20050623']","['RERF', 'POOL', 'NC']","['RE-ROOF', 'POOLS', 'NEW CONST.']","['0', '0', '178,000']",29.942039,-85.392381,gab,9.462322208,0.03,166.5382839,BAY,V,0,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.39230010624598, 29.942109451578908], [-85.39230010636, 29.941968548370706], [-85.39246189364, 29.941968548370706], [-85.39246189375402, 29.942109451578908]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.942039,-85.392381,2006.0,WSF1_gab_1_8s_strap_no_1_3,WSF1_gab_0_8s_strap_no_1_3
162,04182-000-000,500 15TH ST N MEXICO BEACH 32410,SINGLE FAM (000100),2499.0,1,1985.0,MINIMUM,ENG SHINGL,WALL BD/WD,NONE REPORTED,CONC FINSH; CARPET,"['19MB-RB0484', '19MB-RB0343', '19MB-RR0236', '19MB-SID0017', '19MB-RR0021', '17-3558', '12-2177', '918299']","['20190813', '20190605', '20190409', '20190327', '20190107', '20170728', '20120607', '19911113']","['ADD', 'STOR', 'RERF', 'SIDG', 'RERF', 'RERF', 'RENO', 'ADD']","['ADDITION', 'STORAGE', 'RE-ROOF', 'SIDING', 'RERF', 'RERF', 'WINDOWS', 'ADDITION']","['1,800', '7,125', '2,500', '1,000', '0', '0', '0', '19,650']",29.941986,-85.389941,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.38986208664286, 29.94205472686043], [-85.38986208675136, 29.941917273091583], [-85.39001991324862, 29.941917273091583], [-85.39001991335712, 29.94205472686043]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.941986,-85.389941,1985.0,WSF1_hip_1_8d_tnail_wkd_0_3,WSF1_hip_1_6d_tnail_wkd_0_3
163,04177-015-000,315 HATLEY DR MEXICO BEACH 32410,SINGLE FAM (000100),936.0,1,1980.0,AVERAGE,ENG SHINGL,PLYWOOD,NONE REPORTED,CARPET,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,29.941255,-85.402273,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.40222470501621, 29.94129706117574], [-85.40222470505685, 29.941212938806295], [-85.40232129494314, 29.941212938806295], [-85.40232129498378, 29.94129706117574]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.941255,-85.402273,1980.0,WSF1_gab_1_6d_tnail_wkd_0_3,WSF1_gab_1_8d_tnail_wkd_0_3
164,04173-012-012,1007 CYPRESS LN MEXICO BEACH 32410,SINGLE FAM (000100),2594.0,1,2002.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['19MB-RB0414', '18MB-RR0140', 'RF355', 'B391', 'B901', 'B173', 'B174']","['20190708', '20181204', '20020314', '20020221', '20010426', '20000531', '20000531']","['REMO', 'RERF', 'ROOF', 'NC', 'NC', 'NC', 'NC']","['REMODEL', 'RE-ROOF', 'ROOF', 'NEW CONST.', 'NEW CONST.', 'NEW CONST.', 'NEW CONST.']","['0', '0', '0', '100,000', '252,280', '79,200', '28,000']",29.944279,-85.396809,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.396612, 29.944348], [-85.396699, 29.944348], [-85.396698, 29.94427], [-85.39678, 29.94427], [-85.396779, 29.944132], [-85.396647, 29.944133], [-85.396648, 29.944185], [-85.39661, 29.944186], [-85.396612, 29.944348]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94423028,-85.39669,2002.0,WSF1_hip_0_8s_strap_sup_1_3,WSF1_hip_0_8s_strap_sup_1_3
165,04173-012-011,1005 CYPRESS LN MEXICO BEACH 32410,SINGLE FAM (000100),2232.0,1,2000.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; VINYL PLNK,"['19MB-RB0067', '19MB-RR0044', '18-0039', 'B1009']","['20190205', '20190110', '20180621', '20030305']","['REMO', 'RERF', 'CRPT', 'ADD']","['REMODEL', 'RE-ROOF', 'CARPORT', 'ADDITION']","['24,000', '0', '2,500', '3,100']",29.943935,-85.396794,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.39671941990417, 29.943999951674492], [-85.39671942000109, 29.943870048282676], [-85.39686857999891, 29.943870048282676], [-85.39686858009583, 29.943999951674492]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.943935,-85.396794,2000.0,WSF1_hip_1_8d_strap_std_0_3,WSF1_hip_1_8d_strap_std_0_3
166,04173-012-010,1005 CYPRESS LN MEXICO BEACH 32410,SINGLE FAM (000100),1240.0,1,2000.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; HARDWOOD,"['19MB-RR0060', '19MB-RR0027', '19MB-RR0028', 'B1009']","['20190116', '20190107', '20190107', '20030305']","['RERF', 'RERF', 'RERF', 'ADD']","['RE-ROOF', 'RE-ROOF', 'RE-ROOF', 'ADDITION']","['0', '0', '0', '3,100']",29.943935,-85.396794,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.39673841128784, 29.94398341212387], [-85.39673841134169, 29.943886587852333], [-85.39684958865831, 29.943886587852333], [-85.39684958871216, 29.94398341212387]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.943935,-85.396794,2000.0,WSF1_hip_1_8d_strap_std_0_3,WSF1_hip_1_8d_strap_std_0_3
167,04173-012-000,1004 CYPRESS LN MEXICO BEACH 32410,SINGLE FAM (000100),1476.0,1,1982.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,VINYL PLNK,"['19MB-RB0427', '19MB-RR0331', '19MB-RR0188', '19MB-RR0189']","['20190711', '20190710', '20190308', '20190308']","['REMO', 'RERF', 'RERF', 'RERF']","['REMODEL', 'RE-ROOF', 'RE-ROOF', 'RE-ROOF']","['0', '0', '0', '0']",29.944508,-85.396988,hip,9.462322208,0.03,166.5382839,BAY,V,0,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.39692735130544, 29.944560818543913], [-85.39692735136951, 29.944455181427767], [-85.39704864863047, 29.944455181427767], [-85.39704864869455, 29.944560818543913]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.944508,-85.396988,1982.0,WSF1_hip_1_6d_tnail_no_0_3,WSF1_hip_1_6d_tnail_no_1_3
168,04168-000-000,100 PARADISE PATH MEXICO BEACH 32410,SINGLE FAM (000100),4444.0,1,1976.0,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['19MB-CB0014', '20MB-CB0020', '20MB-RB0119', '20MB-RR0024', '19MB-CB0013', '19MB-CB0014', '19MB-CB0015', '19MB-CB0016', '19MB-CB0017', '19MB-CR0022', '19-0284', '51580646', 'B-2699', 'RF-1414', 'B1048', 'RF843', '9406120']","['20210615', '20200428', '20200312', '20200219', '20190531', '20190531', '20190531', '20190531', '20190531', '20190515', '20190509', '20080515', '20031202', '20030923', '20030403', '20001229', '19940624']","['COMM', 'COMM', 'ADD', 'RERF', 'COMM', 'COMM', 'COMM', 'COMM', 'COMM', 'COMM', 'RERF', 'STOR', 'REP', 'RERF', 'NC', 'REP', 'ADD']","['NEW COMMERCIAL', 'REMODEL', 'ADDITION', 'RE-ROOF', 'NEW COMMERCIAL #1', 'NEW COMMERCIAL #2', 'NEW COMMERCIAL #3', 'NEW COMMERCIAL #4', 'NEW COMMERCIAL #5', 'ROOF', 'RE-ROOF', 'STORAGE', 'REPAIRS', 'RE-ROOF', 'NEW CONST.', 'REPAIRS', 'ADDITION']","['45,000', '450,000', '11,500', '0', '0', '0', '0', '0', '0', '0', '0', '55,000', '6,500', '0', '58,000', '0', '500']",29.944783,-85.409509,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.40940376343423, 29.94487464951417], [-85.4094037636272, 29.944691350400532], [-85.4096142363728, 29.944691350400532], [-85.40961423656577, 29.94487464951417]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.944783,-85.409509,1976.0,WSF1_gab_1_6d_tnail_wkd_0_3,WSF1_gab_1_8d_tnail_wkd_0_3
169,04149-000-000,304 BAILEY LN MEXICO BEACH 32410,SINGLE FAM (000100),2810.0,1,2003.0,ABOVE AVG.,ENG SHINGL,DRYWALL,NONE REPORTED,VINYL PLNK; CARPET,"['21MB-RB0050', '19MB-RB0201', 'B-1106', 'B637']","['20210423', '20190404', '20030723', '20030320']","['STOR', 'DECK', 'ROOF', 'NC']","['POLE BARN', 'DECK', 'ROOF', 'NEW CONST.']","['9,250', '1,000', '0', '175,787']",29.946205,-85.407215,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.407144, 29.946229], [-85.407235, 29.946229], [-85.407235, 29.946182], [-85.407363, 29.946182], [-85.407363, 29.946082], [-85.407144, 29.946082], [-85.407144, 29.946229]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94614401,-85.40724304,2003.0,WSF1_hip_0_8s_strap_sup_1_3,WSF1_hip_1_8s_strap_sup_1_3
170,04108-050-000,106 40TH ST S B MEXICO BEACH 32410,SINGLE FAM (000100),920.0,1,1986.0,BD/BTN ABV,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['19MB-RB0553', '19MB-RR0065', '19MB-RB0096']","['20191002', '20190204', '20190201']","['REMO', 'REMO', 'RERF']","['REMODEL', 'REMODEL', 'RE-ROOF']","['13,450', '4,200', '0']",29.951677,-85.425861,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.425806, 29.951563], [-85.425694, 29.951711], [-85.425833, 29.95179], [-85.425945, 29.951642], [-85.425806, 29.951563]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.9516765,-85.4258195,1986.0,WSF1_gab_1_6d_tnail_wkd_0_3,WSF1_gab_1_8d_tnail_wkd_0_3
171,04108-040-000,106 40TH ST S C MEXICO BEACH 32410,SINGLE FAM (000100),840.0,1,1986.0,PREFAB,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,['19MB-RB0177'],['20190325'],['REMO'],['REMODEL'],"['18,000']",29.951677,-85.425861,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.425806, 29.951563], [-85.425694, 29.951711], [-85.425833, 29.95179], [-85.425945, 29.951642], [-85.425806, 29.951563]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.9516765,-85.4258195,1986.0,WSF1_hip_1_8d_tnail_wkd_0_3,WSF1_hip_1_8d_tnail_wkd_0_3
172,04108-030-000,106 40TH ST S A MEXICO BEACH 32410,SINGLE FAM (000100),840.0,1,1986.0,PREFAB,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,['19MB-RB0197'],['20190403'],['REMO'],['REMODEL'],"['20,000']",29.951677,-85.425861,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.425806, 29.951563], [-85.425694, 29.951711], [-85.425833, 29.95179], [-85.425945, 29.951642], [-85.425806, 29.951563]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.9516765,-85.4258195,1986.0,WSF1_gab_1_8d_tnail_wkd_0_3,WSF1_gab_1_8d_tnail_wkd_0_3
